gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ISG15,668.668579741662,5.49952296104301,0.133100072129004,41.3187075940328,0,0
ISG20,740.100312989762,3.30131538443883,0.093054424710673,35.4772531741866,1.10260785736601e-275,3.42690522069357e-272
IFIT3,250.976631290738,6.74963576711036,0.215303367981006,31.3494202640891,9.90760428989005e-216,2.05285560886522e-212
LY6E,163.351670263676,4.16923045055656,0.140042679741403,29.7711416137944,9.23684770609401e-195,1.43540613352701e-191
IFIT1,163.081072032309,6.53074528090494,0.243032074493595,26.8719480525894,4.67383231376824e-159,5.81050833247668e-156
IRF7,128.166204218127,3.69677178801677,0.14937561221826,24.7481615848727,3.24484622787627e-135,3.36166069207982e-132
TNFSF10,112.663281442078,5.85909985131348,0.238657226957273,24.5502720617902,4.29615997739209e-133,3.81499005992418e-130
PLSCR1,106.580619506646,4.13473249703641,0.172077342717016,24.0283376750886,1.40642537612904e-127,1.09279251725227e-124
IFIT2,129.292029578241,6.15900210843222,0.256958041734272,23.9689019532669,5.87023512193508e-127,4.0543757242165e-124
UBE2L6,139.96782959564,2.74907959065029,0.115750162525474,23.7501143036863,1.09575439325064e-124,6.81120930844598e-122
PSMB9_ENSG00000240065,212.484105272076,2.02805110433463,0.0979492979794681,20.7051111765982,3.11515310462156e-95,1.76034469984796e-92
IFI35,58.3631043980171,3.95692213234262,0.1934195973827,20.4577105209947,5.12908502146964e-93,2.65686604112127e-90
OAS1,71.3831336614386,4.4474162082044,0.221881295154328,20.0441240669297,2.27144766794332e-89,1.08610143876428e-86
EPSTI1,84.3557273151945,3.81228101128078,0.194723233957613,19.5779462666003,2.38441938986233e-85,1.05868220909888e-82
NT5C3A,51.4235940130469,3.96778191667955,0.204642301481491,19.388864804369,9.58285644103556e-84,3.97113570916514e-81
IFITM2,110.305515003394,3.05220714453148,0.164184956961966,18.5900535652516,3.86791415368227e-77,1.50268464870556e-74
HERC5,57.391433050321,5.37687264227409,0.295391910411905,18.2025047157737,4.93011182910404e-74,1.80268088998298e-71
EIF2AK2,51.1511584578402,3.28720441153735,0.180805267839355,18.1809106052044,7.31096576562146e-74,2.52472017772794e-71
SAMD9L,61.9338178669952,4.06334702884838,0.224830265896981,18.0729538909599,5.20507565374458e-73,1.70288159282507e-70
GBP1,76.2332203389569,3.90763589948408,0.216759724329397,18.0274998576114,1.1853140145388e-72,3.68395595718659e-70
DYNLT1,62.3184196020133,3.09704736825822,0.172518977673888,17.9519227972273,4.63572586743648e-72,1.3721748567612e-69
MYL12A,227.181764831892,1.4969806329216,0.0846609352057993,17.6820705946921,5.76399324601803e-70,1.62859009169309e-67
PSMA2_ENSG00000106588,108.532867441968,1.66030619610699,0.0952944735128299,17.4229011914679,5.5300614998079e-68,1.49455922968721e-65
B2M,5993.62689398956,0.820687812268471,0.0473856530802893,17.3193310405137,3.36243800019127e-67,8.7087144204954e-65
SAMD9,47.2561241716546,3.02987451752793,0.177767259431537,17.0440525843558,3.86963780114825e-65,9.621467428775e-63
MX2,41.2429732486637,4.11793885098309,0.245386839916798,16.7814168534031,3.33776565192199e-63,7.97982742013349e-61
BST2,109.043003823331,2.27932390871345,0.138570979795338,16.4487825090066,8.55710885695614e-61,1.9700366168459e-58
TRIM22,37.1300793641976,3.07702275335596,0.188650592730441,16.3106975113121,8.2841348981947e-60,1.83907794739922e-57
SP110,50.705775165986,2.3215940484465,0.14489796679403,16.0222679435289,8.93317021418783e-58,1.91477882935833e-55
IFI6,233.457463934446,5.77227940464303,0.362163260430827,15.9383350972055,3.43380977682571e-57,7.11485385758288e-55
SAT1,179.206452395593,2.18562492038402,0.138131845653497,15.8227446396876,2.16830620120338e-56,4.34780366021942e-54
SOCS1,84.6279171947107,2.52695797065678,0.161735103394923,15.6240538857325,4.99277486631112e-55,9.69846517780934e-53
XAF1,33.9774900993511,3.36583895208543,0.217017969775125,15.5094942394546,2.99226500850002e-54,5.6363391796473e-52
DDX58,33.9795110606817,3.94113633291743,0.254754868026716,15.4703082356963,5.50428607344093e-54,1.0063130068385e-51
TMSB10,275.254846506308,1.23447603070492,0.0798222151845103,15.4653191201398,5.94777792171121e-54,1.05632535889591e-51
IFI16,76.6401195636746,2.26489471446549,0.147216980389993,15.3847382853904,2.07212637232754e-53,3.57787153621889e-51
PPM1K,55.3775878169219,2.61813986020308,0.171027938071613,15.3082583449425,6.73431902195936e-53,1.13136559568917e-50
OASL,34.2317860711039,4.9146098668995,0.328921076534193,14.9416082383173,1.76659671858072e-50,2.8897803164994e-48
SELL,76.4361647327402,1.99651295195741,0.13364868646968,14.9385153322128,1.85052309350683e-50,2.94944911518935e-48
LAP3,45.8409226829276,2.9998308810587,0.204539061270345,14.6662982729433,1.05970673812591e-48,1.64678427104766e-46
CXCL10,383.891618341074,8.69690949546894,0.59572601802592,14.5988411321839,2.8565982893738e-48,4.33088169920672e-46
DRAP1,87.0642917765848,1.88950261901324,0.129806908484689,14.5562562198768,5.32977775503047e-48,7.88807107744509e-46
SUB1,83.2403541653886,1.80022272244319,0.126006511573418,14.2867435973283,2.64700508172746e-46,3.82646129953904e-44
MT2A,25.7014872410113,4.15871042437603,0.299385377006375,13.8908268197998,7.19993592387458e-44,1.01715458415464e-41
RBCK1,36.3261751089736,2.65007009659286,0.191669605232209,13.8262406988436,1.77033545579444e-43,2.44542337627073e-41
NMI,51.530374921006,2.30559710843819,0.168747016154726,13.6630392701235,1.68789179830496e-42,2.28085552570949e-40
CARD16,32.1401670712544,2.61462038363689,0.19330474888603,13.5258983480972,1.09991722986258e-41,1.45469904272889e-39
HLA-E_ENSG00000204592,255.076327284527,1.03098472325542,0.0771658377351017,13.3606366951478,1.02682080463115e-40,1.32973294199734e-38
CMPK2,28.4220661880075,5.73629252322815,0.430415069840825,13.3273505626779,1.60496921479377e-40,2.0360180896241e-38
GBP4,74.6580599330822,2.33139189809074,0.175020259823242,13.3206972749628,1.75461070562261e-40,2.18133202923003e-38
PSME2,168.326269514921,1.32731806435369,0.10003594375745,13.2684114778977,3.52984149596955e-40,4.30225387038171e-38
FBXO6,21.7407009100635,4.07265757192132,0.316059093316459,12.885747184763,5.41485246139417e-38,6.47283132692811e-36
PSMB8_ENSG00000204264,92.7001726882357,1.39682762418478,0.108431330248324,12.8821404384308,5.67398343261809e-38,6.65461905984039e-36
