gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,52.3736510726842,0.0954035488064596,0.136272231861705,0.700181073303764,0.483814229910432,0.747406665005237
HES4,18.1064996729869,1.61793405481252,0.331693326101806,4.86910377676651,1.12105525335868e-06,2.03048272929762e-05
ISG15,2425.49163075165,4.62290216704867,0.242289352199029,19.0609349363177,5.33135908786239e-81,9.23235354239585e-79
TNFRSF18,31.3834968077376,-0.0447860380110341,0.366229389452129,-0.122685049160903,0.902356503460821,0.969835176290014
TNFRSF4,65.8353393985535,0.353218599460061,0.301559017476528,1.17222139700064,0.241108179953254,0.520962060457564
SDF4,43.6290957446572,-0.259878121503101,0.173368982820274,-1.49954979041851,0.133731062045343,0.368019589349589
UBE2J2,45.0966712390548,-0.181349302713991,0.140000933549206,-1.29542862716618,0.195172407894852,0.458697151954136
PUSL1,8.64952308278051,-0.241611922599203,0.298850504420621,-0.808492083539356,0.418807361482645,0.695237845809395
CPSF3L,29.0759169170737,0.0932874647760204,0.183185862549804,0.509188769436376,0.610619914273026,0.833731036795863
GLTPD1,8.74892958380864,-0.0571020270863776,0.253425908770499,-0.225375170958662,0.821687425500665,0.940357949879871
AURKAIP1,111.721346802309,0.0533735711546303,0.0914069603734969,0.583920012184211,0.559274128442456,0.799601927246525
CCNL2,29.821997956024,-0.221191648268838,0.170884300364697,-1.29438409428517,0.195532781936718,0.459392042273561
RP4-758J18.2,23.53876856655,0.259714406200947,0.176265909456039,1.47347594758186,0.140622744753282,0.378408605528214
MRPL20,100.826113179087,0.162333034041434,0.133110204777628,1.2196642450673,0.222592181065715,0.495579957844646
SSU72,109.773858279774,-0.0642664223853352,0.0968486731078705,-0.663539281640701,0.506985230013512,0.763112866129536
MIB2,16.300922611767,-0.522491252771763,0.212493275700687,-2.45810272767846,0.0139673214583369,0.0761658850646636
CDK11A,22.7874565073948,-0.150836202552478,0.197442728325289,-0.764264200408485,0.444709814687037,0.714940506433852
NADK,4.45527152704793,1.06593797526711,0.412400872507172,2.58681890924918,0.0096866486005415,0.0573604712792699
GNB1,14.4661844427943,0.175378274522171,0.224691505003224,0.781036248793226,0.434781175252196,0.707181306448868
C1orf86,33.3314085030527,-0.127119978927317,0.227353454556934,-0.558720586138246,0.576352427577818,0.811327472155169
SKI,7.6165903043549,-0.180941072778787,0.286286897615991,-0.632525241883137,0.5270437197271,0.776995517039537
RER1,100.671102776609,0.148574430969042,0.117572247522369,1.26362236090678,0.206365603750378,0.473778677668382
PANK4,8.11310057157008,-0.0347010151010738,0.284556835143527,-0.121789769432038,0.903065516443773,0.969955830423962
RP3-395M20.12,6.08587844065281,-0.789233842121971,0.397984039603816,-1.98749942650136,0.0468670793959062,0.183539031280162
TNFRSF14,40.7147218354409,0.701139079329813,0.145291015762596,4.82319294908134,1.41278183073817e-06,2.51397268126342e-05
WRAP73,18.7519545807116,-0.0677571992792721,0.217142497186419,-0.311793721751042,0.755197295691083,0.910859924223454
LRRC47,18.9080614955448,-0.0658987992756983,0.208962289357927,-0.315408014419359,0.752451882537189,0.910040846218374
CEP104,15.0344760074722,-0.0591253249685499,0.22593702735821,-0.261562521753665,0.793658741570205,0.927415580175848
C1orf174,30.2466584622473,0.136286299976989,0.177026532198455,0.769889914647061,0.441365196929475,0.71366269601441
KCNAB2,8.15970460232711,-0.939274967234535,0.283629105196188,-3.29479735505232,0.00098492678105916,0.00903485806914734
RPL22,327.125984654213,-0.249682767441242,0.105895615891007,-2.35768611352626,0.0183892346790945,0.094065969900267
ICMT,8.08169741804086,-0.192413653221476,0.293195845626078,-0.657559938174934,0.510820944359768,0.765790694594868
TNFRSF25,56.8765990768044,-0.0276863360154555,0.170849878569444,-0.162018329032928,0.871291420087315,0.959219589794998
NOL9,6.11733297860638,0.0519015232635063,0.315384827090191,0.164562760687869,0.869288144187399,0.958705127119719
ZBTB48,7.29596392966972,-0.36654547078565,0.289649601019958,-1.26506343154364,0.20584859032932,0.473096054841638
THAP3,18.9643195539204,-0.089228395579205,0.192253675019618,-0.464159070410735,0.642533782991082,0.853825539815962
CAMTA1,43.4919474199607,0.203228252145487,0.166887471579558,1.21806773310632,0.223198234436859,0.496617820276309
VAMP3,10.6512955217504,0.00309969356609615,0.252714539805501,0.0122471252967358,0.990228452087923,0.998916162489601
TNFRSF9,1.30862354641165,-0.356491377311331,0.496051327997712,-0.721094678729395,0.470851264781407,0.736677827225206
PARK7,230.225547632675,-0.104409911390701,0.10502326346448,-0.994168313049008,0.320140931928592,0.608674147736284
RERE,5.9369396050403,0.126070029485948,0.341244499831391,0.370339014539997,0.711129907651262,0.891108779442986
ENO1,436.068718134293,0.82761050511749,0.152372919362838,5.43092182624121,5.60636912074744e-08,1.22101904163518e-06
CA6,15.796407320787,0.116707006228735,0.521957022517698,0.222575965309827,0.823865544129249,0.940988211851987
GPR157,0.265020722057629,0.0865994982216705,0.466771229829352,0.230437205723302,0.817752052965267,0.937367131397978
SPSB1,9.99302377092325,1.11483493989724,0.275950970228994,4.02450218369062,5.70959643671842e-05,0.000749318571177464
SLC25A33,10.9608243097673,0.229804238021055,0.259977558660333,0.883698039955644,0.376859238690862,0.660666813507437
PIK3CD,9.32888611058325,-0.280404066283719,0.274836696199432,-1.01761351500036,0.308861662031384,0.599162633426831
CLSTN1,8.51754578900195,0.106826299480426,0.284649767694038,0.375121063927679,0.707570432222141,0.889557454026345
CTNNBIP1,5.30176278611555,-0.526253423029874,0.350698608256499,-1.49225553804197,0.135632167800357,0.370950844138111
LZIC,30.5168616258144,0.11287475822958,0.165606501120363,0.681727363198589,0.495411361682134,0.755946844604159
UBE4B,10.8841665297194,-0.132371429477109,0.259674143584758,-0.509673142341075,0.610280472044891,0.83342784218479
KIF1B,2.51244941201075,-0.160567732402258,0.436455535190542,-0.368542746680472,0.712468577338557,0.89231379416189
PGD,11.2335011947815,-0.792100275863315,0.239853767902499,-3.29591834526519,0.00098100523815015,0.00901052676696774
APITD1,9.23889691210239,-0.244689483655685,0.262988639057046,-0.929180685601874,0.352795455218445,0.636602836894593
DFFA,17.9032479289345,-0.108989176488883,0.219390101433358,-0.496866029033441,0.619283528716703,0.83926570984703
PEX14,5.69979279118082,-0.085474367161535,0.321878149374213,-0.265089541170347,0.790940484146534,0.926502261990844
TARDBP,44.259144063358,-0.176471388120149,0.151369346472745,-1.16613297726194,0.243560685392129,0.524418031651943
SRM,55.5337898472797,0.467524543251302,0.180546783060437,2.58856477708277,0.00963768183224312,0.0572615405932436
EXOSC10,10.9511078944702,-0.0734287346793436,0.244544343253353,-0.300370766614936,0.763894359617931,0.915638870468701
UBIAD1,14.5997414315967,-0.148039977049729,0.220356406069902,-0.671550464330933,0.501869922650939,0.761257552171569
FBXO6,22.9342816549657,3.54096138020608,0.264142095149826,12.7386370258105,3.60640165721972e-37,2.75327438346882e-35
