gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IL1RN,854.536681433602,6.51221611847241,0.161674700224374,40.1478951635552,0,0
IFITM2,464.861023192157,4.73392918703027,0.12033788143886,39.288798500563,0,0
SSB,330.83162350736,3.48976835786126,0.113151916190437,30.8253593386918,1.19857272337321e-208,2.6768124155335e-205
NT5C3A,213.754499056028,5.74441575165986,0.186906905196799,30.492168516502,3.309690441022e-204,5.54373148871184e-201
CCL8,6896.20064857941,9.06726564410875,0.31595317202651,28.6037668226991,6.03170803578849e-180,8.08248876795657e-177
RABGAP1L,200.646970011806,6.00166843932377,0.218929376132673,27.1336736754951,3.94615206194654e-162,4.40653646917364e-159
DDX58,191.172953282032,4.89447746992769,0.181459025915187,26.8730023779237,4.54309228933034e-159,4.34838833407333e-156
DYNLT1,897.254119071006,2.67738548737857,0.100859249684809,26.5437917434144,3.02904629660774e-155,2.53682627340899e-152
RTCB,141.229896524934,3.55208318664023,0.141247994263384,25.1129823171102,3.58813227278083e-139,2.67116513640351e-136
TMSB10,2506.78273227719,2.21210570457117,0.0881293113982839,25.1002352878125,4.94398954080793e-139,3.31247299234131e-136
ISG20,3018.28665092073,5.46304544655325,0.21944178712645,24.8874328009879,1.01781133531424e-136,6.19939631509582e-134
NMI,224.918590257291,2.84816559467969,0.116126291818867,24.5168766805902,9.7609173733149e-133,5.44984553343415e-130
NAPA,158.418068897039,2.43209011063835,0.100475336645478,24.1969855763059,2.39336748588696e-129,1.23350478118789e-126
IFIT3,1623.64676495881,7.22669297282533,0.302178360528251,23.8449150015015,1.14343566271978e-125,5.47215638587325e-123
TMEM50A,349.839531104794,1.7817437668955,0.0747329163557862,23.8398923926765,1.28916981969793e-125,5.7582918613174e-123
PSMA4,441.181382157778,2.13014130689872,0.0901641134444846,23.6232269164462,2.2249528371629e-123,9.31699000561966e-121
IRF7,661.894923316165,3.35947290506719,0.14372605390643,23.3691736733799,8.79888689520507e-121,3.46779659987494e-118
CMPK2,182.853823184867,6.39858296460196,0.276230860585302,22.8099074831319,3.65628212234705e-115,1.3609494566514e-112
PLSCR1,734.168280242225,2.97487330087456,0.133858339017159,22.2214014734521,2.13308909667474e-109,7.5219457619583e-107
OASL,444.357005498247,4.25173884961329,0.193581271418948,21.947485090069,9.15266231869128e-107,3.06614187676158e-104
GBP4,198.487634346035,4.00282424356018,0.182233150493428,21.9345427701033,1.21654487810112e-106,3.88135746822739e-104
MT2A,431.465842403302,5.46231675882196,0.252683043043728,21.5645067010018,3.87021814463449e-103,1.17865734404778e-100
SAMD9L,331.72546287674,3.86420518734219,0.181477144413322,21.2770151231335,1.85374411222201e-100,5.4000371964728e-98
EIF2AK2,148.048135907654,4.29685906599449,0.209216423131436,20.4847831491981,2.94291502959753e-93,8.21563779095976e-91
IFIH1,167.687630860686,4.37710724863464,0.214648424613076,20.3419858806918,5.46712661455909e-92,1.46518993270184e-89
NADK,66.3191928156285,3.5949042090472,0.177101594785521,20.230241532939,5.3042511838117e-91,1.36686472813609e-88
SPATS2L,116.820985793058,3.59347450322851,0.177629179185409,20.195709088872,1.067828474183e-90,2.64979658408374e-88
DRAP1,277.238465495716,1.70431564960049,0.0844583528162095,20.1779495460467,1.52960797328048e-90,3.66013336463544e-88
IFI16,161.585778612888,3.33810379650343,0.166954464812639,19.9751243170764,9.0657878254326e-89,2.03830626870315e-86
