gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,2.7173427985675,-0.635349770426917,0.475933892275057,-1.33290966122618,0.182561451695484,0.375301689366796
HES4,45.8388347639977,4.69360255812764,0.328136442516951,13.9937670767788,1.70154938524592e-44,2.94677416263043e-42
ISG15,3156.07271523253,5.85578374089564,0.365539260521617,16.0051874553469,1.17558628287381e-57,3.53603979295989e-55
TNFRSF18,0.680196174609107,-0.540230505805301,0.805672218839443,-0.674612326644773,0.499922099373003,NA
TNFRSF4,0.763005559017666,-0.437692465031004,0.819822902981189,-0.544406768924706,0.586161588841926,NA
SDF4,5.63332654244212,-0.184948155538877,0.340491211152636,-0.54316725844279,0.587014647449014,0.76628339656718
UBE2J2,7.27584143666658,-0.669728136772287,0.314182041372757,-2.12996725890098,0.0331743165358526,0.113328471032728
PUSL1,1.29996772962233,-1.60381581732127,0.706546073671641,-2.27412432565162,0.0229585124990778,0.085676905518861
CPSF3L,3.07572460748529,-0.774729481517741,0.478708226128539,-1.61499822438283,0.106311079393816,0.259201287856509
GLTPD1,0.973884955176047,0.566257927010435,0.758008611775019,0.755495819794547,0.449951539554916,NA
AURKAIP1,23.7959176849399,-0.543496277668328,0.213141503042067,-2.54937601057944,0.0107915877126252,0.0481986915963796
CCNL2,3.56902384054902,-0.545865943408585,0.409931738777499,-1.33073838681773,0.18327510747389,0.376227456613965
RP4-758J18.2,1.73956736104596,-0.109657826759789,0.576757124874736,-0.18979804161886,0.84946739056502,0.923474631363723
MRPL20,11.5569687768943,-0.578361269460039,0.255387528677584,-2.2639219610433,0.0235789149757504,0.0872190932598148
SSU72,18.8452008392499,-0.700157227993673,0.195104937159958,-3.58750904483317,0.000333852155385139,0.00265733296382461
MIB2,0.701931028436914,-1.02314820200792,0.747352337119739,-1.35330084179857,0.175959540388081,NA
CDK11A,4.0182024069145,0.332956833211627,0.402086876589148,0.828259847522908,0.407523357017396,0.619546420216754
NADK,12.5164817357738,2.9751528591186,0.335324659447218,8.72871660936661,2.57578739196141e-18,1.26901939181547e-16
GNB1,9.3275426147905,0.725118933165032,0.300907159284173,2.40830376653813,0.0160268396438818,0.0649138118814917
C1orf86,6.76712498073798,-1.20557693793943,0.344985660336844,-3.48739582415906,0.000487748899343582,0.00366774336809023
SKI,1.60106253694799,-1.28662332178501,0.603258116809479,-2.10656351317217,0.0351554322671761,0.118393220628705
RER1,27.9052155078309,0.0070986803299423,0.188321817235809,0.0376915822045007,0.969933587656982,0.983529179109236
PANK4,0.935621633678472,-0.454135872915948,0.690041455509057,-0.654445551804411,0.512824795216054,NA
RP3-395M20.12,1.50177335400073,-0.872118876443585,0.606469068054732,-1.43441698865856,0.151453302448845,0.331249760235418
TNFRSF14,13.1461745560014,0.314077558919021,0.256463601511002,1.22468665224245,0.22069330514894,0.425814395316068
WRAP73,1.99179404020086,0.0381773057426119,0.590478204513036,0.0646837720614069,0.948425783780189,0.972766215775983
LRRC47,1.64522854866728,0.176099435921004,0.583689419765798,0.30174653235471,0.762845292932171,0.87613763044762
CEP104,2.04721388034695,-0.191297390110608,0.54663422200795,-0.350768719899966,0.725761865864029,0.857190088522231
C1orf174,4.73721562709608,0.853972021958267,0.39506764286725,2.15847915573228,0.0308905973146806,0.107319005260425
KCNAB2,1.60025914278849,-0.95530412902731,0.618240679364019,-1.54205539745135,0.123060132313739,0.287643622156653
RPL22,22.0720549857752,-0.636616726047892,0.190629784139345,-3.33898499758453,0.000840851053464616,0.0059107795455723
ICMT,0.625600040869539,-0.688697559392649,0.829021851010844,-0.814788182431102,0.415193566546434,NA
TNFRSF25,0.877350137557804,-0.954269328952576,0.811357155508818,-1.18253890424755,0.236991938263139,NA
NOL9,0.192436827262566,-0.834474666982783,0.959895978416459,-0.890356534683213,0.373274473438342,NA
ZBTB48,0.929091930420584,-0.626668249063778,0.727243869001869,-0.860325341147962,0.389609727679645,NA
THAP3,1.71301177993725,0.580171324747203,0.566901636128122,1.02099878751137,0.307255013166206,0.527632932765886
CAMTA1,13.6951363615597,-0.182167189023532,0.276282671583896,-0.659476672460846,0.509589721061523,0.7082454416018
VAMP3,5.9176420125487,-0.1391802653648,0.328273777598701,-0.423811221994315,0.67170349332526,0.823976097431849
TNFRSF9,0.251354245019332,-0.449593396885527,0.951341045335685,-0.489894622925169,0.624208468185096,NA
PARK7,30.6720468252232,-1.2847300662526,0.193631202766893,-6.63184170477912,3.31524013207661e-11,8.02821921814314e-10
RERE,1.7166153013854,1.13764553183131,0.617611937920798,1.82579483725998,0.0678811712771639,0.190359535969695
ENO1,71.8173303945263,-1.392850157838,0.131422791225965,-10.5954670167755,3.12775883844492e-26,2.62869731789893e-24
