genes,cluster
HES4,1
ISG15,1
TNFRSF18,2
TNFRSF4,2
TNFRSF9,2
SPSB1,1
FBXO6,1
ECE1,1
ID3,2
TMEM50A,1
SH3BGRL3,2
UBXN11,2
CD52,2
RPS6KA1,2
WASF2,1
IFI6,1
THEMIS2,1
HDAC1,2
MARCKSL1,2
ADPRHL2,1
PPT1,2
CCDC23,1
PRDX1,2
FAM159A,2
TMEM59,1
JUN,2
GADD45A,2
SRSF11,1
NEXN,1
IFI44L,1
IFI44,1
GNG5,1
CTBS,1
MCOLN2,1
ODF2L,1
LMO4,1
GBP1,1
GBP2,1
GBP7,1
GBP4,1
GBP5,1
RPL5,2
PSMA5,1
KCNA3,1
CD53,1
CHI3L2,1
ATP5F1,2
C1orf162,2
MOV10,1
CD58,2
RP11.343N15.5_ENSG00000269996,1
RBM8A_ENSG00000131795,1
MCL1,1
CTSS,1
RFX5,1
S100A11,1
S100A8,2
S100A4,2
RAB13,2
ADAR,1
CKS1B_ENSG00000173207,1
SLC50A1,2
FDPS,2
LMNA,2
MNDA,1
IFI16,1
AIM2,1
TAGLN2,2
CD48,1
SLAMF7,1
PFDN2,1
MGST3,2
TIPRL,1
BLZF1,1
SELL,1
RABGAP1L,1
KIAA0040,1
MR1,1
RGS16,2
ARPC5,1
TSEN15,1
CDC73,1
DENND1B,1
MIR181A1HG,2
RAB7L1,1
TRAF3IP3,2
MIA3,1
AIDA,1
BROX,1
CAPN2,1
H3F3A,2
ADCK3,2
TARBP1,1
CMPK2,1
RSAD2,1
YWHAQ,1
SMC6,1
RDH14,1
UBXN2A,1
LBH,2
RASGRP3,1
EIF2AK2,1
QPCT,2
ZFP36L2,2
PNPT1,1
BCL11A,1
REL,2
B3GNT2,1
TIA1,1
NAGK,1
MOB1A,1
MTHFD2,1
TMSB10,1
VAMP5,1
ST3GAL5,1
ARID5A,1
PDCL3,2
UXS1,2
IL1RN,1
CBWD2,1
ACTR3,1
DBI,2
RALB,1
BIN1,2
PLEKHB2,1
RBM43,1
NMI,1
RIF1,1
ARL6IP6,1
TANK,1
IFIH1,1
WIPF1,1
HNRNPA3,2
ITGA4,1
INPP1,1
GLS,1
STAT1,1
PGAP1,1
HSPE1,1
SPATS2L,1
CFLAR,1
CASP10,1
WNT10A,2
TUBA4A,2
DNPEP,1
ACSL3,1
WDFY1,1
MRPL44,1
SP110,1
SP140,1
SP140L,1
SP100,1
UBE2F,1
PPP1R7,2
BRK1,2
IRAK2,2
SATB1,1
RPL15,2
AZI2,1
CMTM7,2
TRANK1,1
MYD88,1
RPSA,2
RPL14,2
TREX1,1
SHISA5,1
IMPDH2,2
GPX1,2
UBA7,1
TWF2,2
ARHGEF3,1
TMF1,2
TFG,1
BBX,1
CD47,1
IFT57,2
BTLA,1
ATG3,1
SLC35A5,1
NDUFB4,1
EAF2,1
CD86,1
PARP9,1
DTX3L,1
PARP14,1
XRN1,1
PLSCR1,1
SSR3,1
TIPARP,1
TNFSF10,1
GNB4,1
LAMP3,1
AP2M1,2
MAGEF1,2
RTP4,1
CCDC50,1
HES1,2
FAM43A,2
FYTTD1,1
TACC3,2
CD38,1
LAP3,1
PI4K2B,1
SMIM14,2
RHOH,1
HOPX,2
STAP1,1
DCK,1
IL8,2
CXCL10,1
CXCL11,1
HNRNPDL,2
PLAC8,1
PPM1K,1
HERC6,1
HERC5,1
DAPP1,1
BANK1,1
UBE2D3,1
ALPK1,1
LARP7,1
C4orf3,1
EXOSC9,1
SCLT1,1
C4orf33,1
RPS3A,2
DDX60,1
DDX60L,1
HMGB2,2
IRF2,1
SRD5A1,1
SUB1,1
TARS,1
ANXA2R,1
GPBP1,1
BTF3,2
HEXB,2
AP3B1,1
GLRX,1
CAST,1
DMXL1,1
TNFAIP8,1
SRFBP1,1
SNX2,1
LMNB1,1
CDC42SE2,1
C5orf56,1
IRF1,1
CXXC5,2
NR3C1,1
ADRB2,1
ATOX1,1
ADAM19,1
MAT2B,1
RGS14,2
GNB2L1,2
RP11.420G6.4,1
GCNT2,1
TMEM14C,2
NOL7,1
GMPR,1
DEK,1
FAM65B,1
TRIM38,1
RP1.313I6.12,2
HLA.F_ENSG00000204642,1
HLA.A_ENSG00000206503,1
HLA.E_ENSG00000204592,1
TUBB_ENSG00000196230,2
HLA.C_ENSG00000204525,1
MICB_ENSG00000204516,1
CLIC1_ENSG00000213719,1
HLA.DQA1_ENSG00000196735,2
HLA.DQB1_ENSG00000179344,2
HLA.DOB_ENSG00000241106,1
TAP2_ENSG00000204267,1
PSMB8_ENSG00000204264,1
PSMB9_ENSG00000240065,1
TAP1_ENSG00000168394,1
HLA.DMB_ENSG00000242574,2
HLA.DMA_ENSG00000204257,2
TAPBP_ENSG00000231925,1
RPL10A,2
FKBP5,1
ETV7,1
FGD2,1
PIM1,2
CNPY3,2
DNPH1,2
HSP90AB1,1
CD2AP,1
MB21D1,1
EEF1A1,2
COX7A2,1
FAM46A,1
UBE2J1,1
SOBP,1
SCML4,1
CD164,1
FIG4,1
NCOA7,1
L3MBTL3,1
SLC18B1,1
RPS12,1
IFNGR1,2
UTRN,1
DYNLT1,1
SOD2,1
CCR6,1
CHST12,1
WIPI2,2
ACTB,2
RPA3,1
BZW2,2
TSPAN13,1
IL6,1
CYCS,1
SNX10,1
NT5C3A,1
SEPT7,2
PSMA2_ENSG00000106588,1
MRPL32,1
STK17A,2
POLD2,2
CCM2,2
ZNF92,1
FGL2,1
SAMD9,1
SAMD9L,1
STAG3,1
TRIM56,1
ORAI2,2
SYPL1,2
NAMPT,1
CAPZA2,1
LINC.PINT_ENSG00000231721,2
BPGM,1
TMEM140,1
ZC3HAV1,1
PARP12,1
MKRN1,1
