genes,cluster
HLA.F_ENSG00000204642,1
HLA.E_ENSG00000204592,1
GNL1_ENSG00000204590,2
TUBB_ENSG00000196230,2
IER3_ENSG00000137331,2
HLA.C_ENSG00000204525,1
HLA.B_ENSG00000234745,1
MICB_ENSG00000204516,1
LTA_ENSG00000226979,1
LSM2_ENSG00000204392,1
NEU1_ENSG00000204386,2
ATF6B_ENSG00000213676,2
GPSM3_ENSG00000213654,2
TAP2_ENSG00000204267,1
PSMB8_ENSG00000204264,1
PSMB9_ENSG00000240065,1
TAP1_ENSG00000168394,1
HLA.DPA1_ENSG00000231389,1
TAPBP_ENSG00000231925,1
CUTA_ENSG00000112514,2
BAK1,1
HMGA1,2
ETV7,1
CMTR1,1
CCDC167,2
SAYSD1,1
CCND3,1
TBCC,2
KLHDC3,2
MAD2L1BP,1
HSP90AB1,1
SUPT3H,1
FBXO9,2
EEF1A1,2
COX7A2,1
FAM46A,1
CYB5R4,1
NDUFAF4,1
ASCC3,1
SOBP,1
SCML4,1
CD164,1
RPF2,1
FYN,2
FAM26F,1
ZUFSP,1
NCOA7,1
RNF146,1
L3MBTL3,1
AKAP7,1
SLC18B1,1
AHI1,2
RP11.356I2.4,2
CCDC28A,2
STX11,1
UTRN,1
ZBTB2,2
IPCEF1,1
DYNLT1,1
TAGAP,1
SOD2,1
QKI,1
SUN1,2
ZFAND2A,2
CHST12,1
WIPI2,2
ACTB,2
CCZ1,1
USP42,1
C1GALT1,1
RPA3,1
TMEM106B,1
CYCS,1
HOTAIRM1,2
GGCT,1
NT5C3A,1
HERPUD2,1
AOAH,2
PSMA2_ENSG00000106588,1
BLVRA,1
MYO1G,2
CCM2,2
NCF1_ENSG00000158517,2
POR_ENSG00000127948,2
SAMD9,1
SAMD9L,1
ARPC1B,2
CNPY4,2
PILRA,1
TRIM56,1
ZNHIT1,2
ORAI2,2
POLR2J3,2
ATXN7L1,2
NAMPT,1
BPGM,2
C7orf49,2
TMEM140,1
ZC3HAV1,1
PARP12,1
MKRN1,1
NDUFB2,1
MRPS33,1
SSBP1_ENSG00000106028,1
EPHB6_ENSG00000106123,2
GSTK1,1
ATP6V0E2,2
ZNF775,1
GIMAP8,1
GIMAP7,1
GIMAP4,1
GIMAP6,1
GIMAP2,1
GIMAP1,1
GIMAP5,1
NUB1,1
RHEB,1
PRKAG2,1
INSIG1,2
SLC25A6,2
PRKX,1
MSL3,1
PRPS2,1
TMSB4X,1
GPM6B,1
ZRSR2,1
SYAP1,2
PRDX4,1
ACOT9,1
SAT1,1
APOO,1
CXorf21,1
ATP6AP2,2
CXorf38,1
DDX3X,1
FUNDC1,1
SLC38A5_ENSG00000017483,1
PIM2_ENSG00000102096,1
TSPYL2_ENSG00000184205,2
MAGED2,2
UBQLN2,1
COX7B_ENSG00000131174,1
ITM2A,2
BEX4,2
BEX2,2
TCEAL4,2
TSC22D3,2
NXT2,1
LAMP2,1
C1GALT1C1,1
XIAP,1
SASH3,2
RAB33A,2
FMR1_ENSG00000102081,1
IDS_ENSG00000010404,2
BCAP31_ENSG00000185825,1
SSR4_ENSG00000180879,1
TMEM187_ENSG00000177854,1
EMD_ENSG00000102119,2
ATP6AP1_ENSG00000071553,2
FAM50A_ENSG00000071859,2
LAGE3_ENSG00000196976,2
UBL4A_ENSG00000102178,2
FAM3A_ENSG00000071889,2
DKC1_ENSG00000130826,1
CTD.2336O2.1,2
POLR3D,1
PPP2R2A,1
BNIP3L,2
WHSC1L1,1
IDO1,1
AP3M2,1
ATP6V1H,1
LYN,1
NSMAF,2
VCPIP1,1
C8orf44,1
PKIA,2
FABP5,1
RIPK2,1
NBN,1
DECR1,1
UQCRB,2
EMC2,1
NUDCD1,1
ENY2,1
EBAG9,1
MRPL13,1
DERL1,1
TRIB1,1
MYC,1
EFR3A,1
TMEM71,2
LY6E,1
GSDMD,1
PARP10_ENSG00000178685,1
SMARCA2,1
JAK2,1
CD274,1
TTC39B,1
PLIN2,2
DDX58,1
NDUFB6,1
DNAJA1,1
BAG1,1
CHMP5,1
AQP3,2
RPP25L,2
SIT1,2
CCDC107,2
GLIPR2,1
CLTA,2
ZCCHC7,2
ANXA1,1
GCNT1,1
PSAT1,1
FRMD3,1
ISCA1,2
SUSD3,1
TDRD7,1
ANP32B,2
NANS,2
TRIM14,1
SEC61B,1
STX17,1
CTNNAL1,2
TMEM245,2
TXN,1
STOM,1
ST6GALNAC6,2
DPM2,1
FAM102A,2
WDR34,2
SETX,1
SURF2_ENSG00000148291,2
UBAC1,2
SNHG7,2
PHPT1,1
KLF6,1
IL15RA,1
IL2RA,1
ATP5C1,1
OPTN,1
VIM,2
COMMD3,2
BMI1,2
APBB1IP,2
MASTL,1
MAP3K8,1
HNRNPF,1
ALOX5_ENSG00000012779,1
CISD1,1
DDX21,1
PPA1,1
PRF1,1
C10orf54,2
PSAP,2
ANXA7,2
ADK,1
KAT6B,2
RPS24,1
TSPAN14,2
ACTA2,1
FAS,1
LIPA,1
IFIT2,1
IFIT3,1
IFIT1,1
IFIT5,1
PCGF5,1
PGAM1,2
AVPI1,2
SLC25A28,1
SFXN3,2
NOLC1,1
FBXL15,2
TRIM8,2
CALHM2,2
GSTO1,2
MXI1,2
PDCD4,1
ACSL5,1
CASP7,1
ABLIM1,2
RGS10,2
BUB3,2
ADAM8,2
ECHS1,2
IFITM2,1
IFITM1,1
IFITM3,1
SIGIRR,2
IRF7,1
ASCL2,1
RHOG,2
RRM1,2
TRIM21,1
TRIM5,1
TRIM22,1
SMPD1,2
TPP1,2
MRPL17,1
EIF3F,2
CTR9,2
PDE3B_ENSG00000152270,2
RCN1,1
CD59,1
CAT,2
CD44,2
TRIM44,1
CD82,2
DGKZ,2
MDK,1
UBE2L6,1
SERPING1,1
YPEL4,2
C11orf31,2
LPXN,2
TMEM109,1
CD5,2
TMEM216,2
BEST1,2
UBXN1,2
RARRES3,1
HRASLS2,1
FERMT3,2
PRDX5,2
VPS51,2
FRMD8,2
NEAT1,1
FAM89B,2
CFL1,1
CCDC85B,1
DRAP1,1
BANF1,1
RBM4B,2
RAD9A,1
PPP1CA,2
TBC1D10C,2
UNC93B1,1
RP11.660L16.2,2
STARD10,2
UCP2,2
TMEM126B,1
CREBZF,2
ENDOD1_ENSG00000149218,1
CEP57,2
TMEM123,1
CASP4,1
CASP1,1
CARD16,1
ACAT1,1
USP28,1
RBM7,1
IL10RA,2
AMICA1,2
CD3E,2
SORL1,2
HSPA8,1
VPS26B,2
PARP11,1
CCND2,1
NDUFA9,1
CD9,2
TNFRSF1A,2
CD27,2
TAPBPL,1
IFFO1,2
ING4,2
PTMS,1
LAG3,1
C12orf57_ENSG00000111678,2
C3AR1,1
NECAP1,1
CLEC2D,1
CD69,1
CLEC2B,1
GABARAPL1,2
MAGOHB,1
ETV6,1
BCL2L14,1
CDKN1B,2
EMP1,1
ARHGDIB,2
LRMP,2
CCDC91,1
ERGIC2,1
NELL2,2
FKBP11,1
TUBA1A,2
TMBIM6,1
EIF4B,2
HNRNPA1,2
NCKAP1L,2
TESPA1,1
ESYT1,2
IL23A,2
STAT2,1
MARS,1
RP11.620J15.3,2
USP15,1
HELB,1
RP11.81H14.2,1
GLIPR1,2
PHLDA1,2
NAP1L1,2
ATP2B1,2
BTG1,2
MRPL42,1
NEDD1,1
SLC25A3,2
C12orf23,1
CRY1,2
ISCU,2
USP30.AS1,1
GIT2,2
PPP1CC,1
NAA25,1
TRAFD1,1
RPL6,2
OAS1,1
OAS3,1
OAS2,1
SDS,1
SUDS3,1
COX6A1,1
OASL,1
KDM2B_ENSG00000089094,2
RHOF,2
ARL6IP4,2
UBC,1
RAN,1
POMP,1
UBL3,2
HMGB1,2
BRCA2,1
SPG20,1
ELF1,1
RGCC,2
EPSTI1,1
LCP1,1
ITM2B,1
SETDB2,1
PHF11,1
RNASEH2B,1
DHRS12,1
KLF5,1
UCHL3,1
IRG1,1
MYCBP2,1
GPR180,1
TM9SF2,1
TNFSF13B,1
PNP,2
PSME1,1
PSME2,1
RP11.468E2.4,1
IRF9,1
NEDD8,1
TINF2,1
TGM1,1
SNX6,1
BAZ1A,1
RPL36AL,1
DNAAF2,2
KLHDC2,2
TMX1,1
PTGER2,1
GNPNAT1,1
CNIH1,2
SAMD4A,1
GCH1,1
PSMA3,1
ARID4A,2
HIF1A,1
SYNE2,1
ZBTB1,2
MAX,1
EIF2S1,1
ZFP36L1,2
ACTN1,2
ERH,1
SRSF5,2
SYNJ2BP,1
PNMA1,2
NPC2,1
SPTLC2,1
RPS6KA5,1
C14orf159,1
MOAP1,2
IFI27,1
WARS,1
PPP2R5C,1
HSP90AA1,1
SIVA1,2
CRIP1_ENSG00000213145,2
THBS1,2
GCHFR,2
EHD4,1
CCNDBP1,2
PATL2,1
B2M,1
TRIM69,1
C15orf48,1
SQRDL,1
EID1,2
SPPL2A,1
LYSMD2,1
RP11.139H15.1,2
CCPG1,2
TPM1,2
LACTB,1
PTPLAD1,2
RAB11A,1
MAP2K1,2
RPL4,2
ANP32A,2
ADPGK,1
PML,1
UBL7.AS1,2
COX5A,1
IMP3,2
PSTPIP1,2
IDH3A,1
PSMA4,1
IL16,2
NMB,2
ISG20,1
HAPLN3,1
IDH2,1
MEF2A,1
LINS,1
GNPTG,2
NME3,2
SPSB3,2
HAGH,2
NDUFB10,2
AMDHD2,2
TNFRSF12A,2
IL32,1
CLUAP1,1
UBALD1,2
SOCS1,1
PDXDC1,2
LYRM1,1
NSMCE1,2
IL4R,2
MAZ,2
MVP,1
CDIPT,2
ALDOA,2
YPEL3,2
CORO1A,2
SEPT1_ENSG00000180096,2
DCTPP1,1
SEPHS2,2
ZNF267,1
C16orf87,2
N4BP1,1
SNX20,1
CYLD,1
MT2A,1
HERPUD1,1
NLRC5,1
ARL2BP,2
KIFC3_ENSG00000140859,2
CKLF,2
CMTM3,2
TRADD,1
PARD6A,2
CENPT,2
THAP11,2
NUTF2,1
PSMB10,1
DPEP2,2
PRMT7,1
MLKL,1
TMEM170A,1
KARS,1
CMC2,1
MBTPS1,2
COTL1,1
IRF8,1
CYBA,2
RNF166,2
CPNE7,2
FANCA,1
TCF25,2
ITGAE,2
ANKFY1,1
XAF1,1
ACADVL,2
PHF23,2
GABARAP,2
ELP5,2
ACAP1,2
CHRNB1,1
CD68,1
VAMP2,2
TMEM107,2
PRPSAP2,2
MAP2K3,2
LGALS9,1
SSH2,2
BLMH,1
EVI2B,2
CCL2,1
CCL7,1
CCL8,1
SLFN5,1
RP11.47L3.1,2
SLFN12,1
RP11.1094M14.11,2
CCL3,1
CCL4,1
PSMB3,1
RARA,1
CCR7,1
EIF1,1
CNP_ENSG00000173786,1
DHX58_ENSG00000108771,1
KAT2A_ENSG00000108773,1
STAT5A,1
IFI35,1
HDAC5,2
CTD.2020K17.1,2
FMNL1,2
KPNB1,1
TBX21,1
CALCOCO2,1
PHB,1
PDK2,2
MRPL27,1
COX11,2
NOG,2
TRIM25,1
SCPEP1,2
CD79B,2
ICAM2,1
PITPNC1,2
ARSG_ENSG00000141337,1
SLC9A3R1,2
TSEN54,2
H3F3B,1
UBALD2,1
MFSD11,1
SEPT9_ENSG00000184640,2
SOCS3,1
LGALS3BP,1
RNF213,1
PYCR1,1
CCDC57,2
SECTM1,1
HEXDC,1
C17orf62,1
TBCD,2
SMCHD1,1
LPIN2,1
MYL12A,1
MYL12B,1
NDUFV2,1
ANKRD12,1
PSMG2,1
PTPN2,1
LDLRAD4,2
SNRPD1,1
TAF4B,1
RNF125,2
C18orf25,1
RPL17,2
ME2,1
PMAIP1,1
KDSR,1
CNDP2,1
ZADH2,2
HSBP1L1,2
RBCK1,1
FASTKD5,2
GPCPD1,2
SNRPB2,1
CST3,1
APMAP,2
HM13,1
EIF2S2,1
MAP1LC3A,2
SAMHD1,1
TOP1,1
PKIG,2
RP11.445H22.3,1
CTSA,2
STAU1,1
DDX27,2
ZNFX1,1
PTPN1,1
NFATC2,1
ZBP1,1
OGFR,1
PPDPF,2
HELZ2,1
CTD.3184A7.4,2
STMN3,2
TPGS1,2
GZMM,2
CNN2,2
GPX4,2
CIRBP,2
GADD45B,1
S1PR4,2
EEF2,2
TMIGD2,2
C19orf10,1
CLPP,2
DENND1C,2
GPR108,2
C19orf59,2
RAB11B,2
ZNF561,2
C19orf66,1
CDKN2D,1
ILF3.AS1,2
ELOF1,2
ACP5,1
PRDX2,2
IER2,1
CACNA1A,1
MIR24.2,2
CD97,1
DDX39A,1
TECR,2
RASAL3,2
RAB8A,1
HSH2D,1
MRPL34,2
BST2,1
CTD.2521M24.9,1
ARRDC2,2
SSBP4,1
FKBP8,2
RPSAP58,2
PLEKHF1,2
PDCD5,1
GRAMD1A,2
FXYD5,2
LSR,2
USF2,2
ZBTB32,1
U2AF1L4,2
NFKBID,2
ECH1,2
RINL,2
SIRT2,2
ARHGEF1_ENSG00000076928,2
POU2F2,2
LYPD3,2
PHLDB3,2
ZNF428,2
PRKD2,1
SAE1,2
BBC3,2
NAPA,1
NUCB1,1
FTL,2
PIH1D1,2
IRF3,1
PTOV1,2
IL4I1,1
ATF5,1
TSEN34_ENSG00000170892,2
CHMP2A,2
CECR1,1
BID,1
GNB1L,2
MED15,2
RGL4,2
XBP1,1
EWSR1,1
UQCR10,1
GATSL3,2
TBC1D10A,2
SELM,2
PIK3IP1,2
FBXO7,1
TOM1,2
APOL6,1
APOL3,1
APOL2,1
APOL1,1
EIF3D,2
CYTH4,2
H1F0,2
EIF3L,2
JOSD1,2
GTPBP1,1
APOBEC3A_ENSG00000128383,1
APOBEC3B,1
ADSL,2
RBX1,1
RRP7A,1
PRR5,1
CERK,2
SCO2,1
TYMP,1
ODF3B,1
C21orf91,1
MIR155HG,1
IFNAR2,2
TMEM50B_ENSG00000142188,2
CBR1,1
MORC3,1
TTC3,2
ETS2,1
HMGN1,2
MX2,1
MX1,1
ABCG1,2
ITGB2,2
