genes,cluster
HES4,1
ISG15,1
NADK,1
TNFRSF14,1
KCNAB2,2
ENO1,1
SPSB1,1
PGD,2
FBXO6,1
SPEN,2
FBXO42,2
AKR7A2,2
ECE1,1
ID3,2
RUNX3,1
TMEM50A,1
LDLRAP1,2
RP1.187B23.1,1
STMN1,2
SYTL1,2
IFI6,1
ATPIF1,2
LAPTM5,2
LCK,2
HDAC1,2
MARCKSL1,2
THRAP3,1
PABPC4,2
PLK3,2
NASP,1
MOB3C,1
NRD1,1
FAM159A,2
JUN,2
MIER1,1
USP33,1
NEXN,1
IFI44L,1
IFI44,1
GNG5,1
ODF2L,1
SH3GLB1,1
GBP3,1
GBP1,1
GBP2,1
GBP7,1
GBP4,1
GBP5,1
RPL5,2
S1PR1,2
PSMA5,1
KCNA3,1
CD53,1
DENND2D,1
ATP5F1,2
RAP1A,2
MOV10,1
PTPN22,2
ATP1A1,2
MCL1,1
CTSS,1
RFX5,1
THEM4,2
S100A8,2
S100A6,2
S100A4,2
TPM3,1
ADAR,1
PBXIP1,2
CKS1B_ENSG00000173207,1
SSR2,2
PMF1,1
SH2D2A,2
MNDA,1
PYHIN1,1
IFI16,1
AIM2,1
SLAMF1,2
CD48,1
SLAMF7,1
LY9,2
TIPRL,1
BLZF1,1
SELL,1
RABGAP1L,1
KIAA0040,1
SOAT1,1
IER5,2
IVNS1ABP,2
RGS1,1
PTPN7,2
ATP2B4,1
RAB7L1,1
RASSF5_ENSG00000136653,2
TRAF3IP3,2
BATF3,1
DUSP10,2
MIA3,1
AIDA,1
DEGS1,1
LBR,2
ITPKB,2
COA6,1
TARBP1,1
GGPS1,1
OPN3,1
COX20,1
CMPK2,1
RSAD2,1
HPCAL1,2
PDIA6,1
NRBP1,1
RASGRP3,1
EIF2AK2,1
QPCT,2
GALM,1
PREPL,2
SPTBN1,2
PNPT1,1
B3GNT2,1
CEP68,2
PLEK,1
ARHGAP25,1
AAK1,2
TIA1,1
NAGK,1
BOLA3,1
MOB1A,1
MTHFD2,1
WDR54,2
POLE4,1
TMSB10,1
VAMP5,1
RP11.1399P15.1,1
STARD7,1
ARID5A,1
ANKRD39,2
FAHD2B,2
EIF5B,1
RNF149,1
IL18RAP,1
UXS1,2
FBLN7,2
IL1B,2
IL1RN,1
ACTR3,1
PTPN4,1
RALB,1
GYPC,2
BIN1,2
CCDC115,2
CXCR4,2
ARHGAP15,1
RBM43,1
NMI,1
RIF1,1
ARL5A,1
PRPF40A,1
ARL6IP6,1
CYTIP,1
TANK,1
DPP4,1
IFIH1,1
GCA,1
GPR155,1
WIPF1,1
NFE2L2,1
INPP1,1
STAT1,1
NABP1,1
PGAP1,1
ANKRD44,2
SPATS2L,1
PPIL3,2
CFLAR,1
CASP10,1
CASP8,1
ICOS,1
BARD1,1
ARPC2,2
CTDSP1,2
WNT10A,2
TUBA4A,2
DNPEP,1
DOCK10,1
SP110,1
SP140,1
SP140L,1
SP100,1
ITM2C,2
NCL,1
UBE2F,1
RNPEPL1,2
BRK1,2
LSM3,1
CAPN7,2
DPH3,1
OXNAD1,2
AZI2,1
GLB1,2
TRANK1,1
MYD88,1
SETD2,2
TMA7,1
TREX1,1
SHISA5,1
PRKAR2A,2
DALRD3,2
GPX1,2
UBA7,1
CISH,1
ABHD14A,2
TMEM110,1
SFMBT1,2
TKT_ENSG00000163931,2
DCP1A,1
ARHGEF3,1
HESX1,1
C3orf14,1
ARL6IP5,2
FRMD4B,1
EIF4E3,1
CGGBP1,1
TFG,1
BBX,1
CD47,1
GCSAM,1
NDUFB4,1
PARP9,1
DTX3L,1
PARP14,1
ABTB1,2
H1FX,2
XRN1,1
PLSCR1,1
GPR171,1
DHX36,1
SMC4,2
MYNN,1
TNFSF10,1
GNB4,1
LAMP3,1
MAGEF1,2
RTP4,1
LPP,1
HES1,2
FAM43A,2
RNF168,2
PIGX,2
FYTTD1,1
MAEA,2
HAUS3,1
AC093323.3,2
MRFAP1L1,2
BLOC1S4,2
WDR1,2
CD38,1
LAP3,1
PI4K2B,1
ARAP2,1
TBC1D1,1
TLR1,1
PAICS,1
HOPX,2
REST,2
DCK,1
IL8,2
G3BP2,1
CXCL10,1
CXCL11,1
SCARB2,1
RASGEF1B,1
PLAC8,1
HPSE,1
MRPS18C,1
HSD17B11,2
PPM1K,1
HERC6,1
HERC5,1
PYURF,1
DAPP1,1
UBE2D3,1
BDH2,2
INTS12,1
TIFA,1
SEC24D,1
C4orf3,1
SCLT1,1
C4orf33,1
IL15,1
SMARCA5,1
LSM6,1
RP11.18H21.1,2
DDX60,1
DDX60L,1
HMGB2,2
ING2,2
IRF2,1
RP11.326I11.3,1
CASP3,1
FRG1_ENSG00000109536,2
SDHA,1
ANKH,2
SUB1,1
TARS,1
ANXA2R,1
PARP8,1
IL6ST,1
GPBP1,1
NLN,1
ERBB2IP,2
CTD.2037K23.2,1
VCAN,2
GLRX,1
CAST,1
ERAP1,1
ERAP2,1
LNPEP,1
FEM1C,1
TNFAIP8,1
SRFBP1,1
LMNB1,1
CDC42SE2,1
C5orf56,1
IRF1,1
TCF7,2
JADE2,1
HNRNPA0,2
MZB1,1
SRA1,1
SLC35A4,1
CD14,2
DIAPH1,2
LARS,1
ADRB2,1
CD74,1
THG1L,2
MAT2B,1
ATP6V0E1,1
CREBRF,1
SFXN1,2
NOP16,1
CLTB,2
RGS14,2
GRK6,2
PRR7,2
TMED9,1
NHP2,1
SQSTM1,2
RNF130,2
EXOC2,1
SERPINB1,1
RP11.420G6.4,1
RIPK1,1
ECI2,2
GCNT2,1
TMEM14C,2
ADTRP,1
GMPR,1
TRIM38,1
HIST1H1C,2
BTN3A1,1
BTN3A3,1
