genes,cluster
SCLT1,1
IL15,1
SMARCA5,1
LSM6,2
RPS3A,2
DDX60,1
DDX60L,1
IRF2,1
CASP3,1
ACSL1,1
RP11.701P16.5,1
PDCD6,2
EXOC3,2
SUB1,1
DAB2,2
ANXA2R,1
GPBP1,1
GAPT,2
DIMT1,2
SGTB,1
CD180,2
BTF3,2
IQGAP2,1
VCAN,2
LUCAT1,2
FAM172A,2
GLRX,1
CAST,1
ST8SIA4,1
EPB41L4A.AS1,2
AP3S1,1
SNX2,1
LMNB1,1
HINT1,2
C5orf56,1
IRF1,1
UBE2B,1
DDX46,2
H2AFY,2
CXXC5,2
CYSTM1,1
HBEGF,2
CD14,2
NDUFA2,2
NDFIP1,1
NR3C1,1
ADRB2,1
CD74,1
CCDC69,2
ATOX1,1
HAVCR2,1
LCP2,1
NPM1,2
RPL26L1,2
CLTB,2
PDLIM7,2
RNF130,2
MGAT1,1
GNB2L1,2
GMDS,1
SERPINB1,1
RP11.420G6.4,1
SERPINB9,1
GCNT2,1
TMEM14C,2
TMEM14B,2
NEDD9,2
EDN1,1
TBC1D7,2
GMPR,1
FAM8A1,1
TPMT,1
DEK,1
TRIM38,1
HIST1H2AC,1
HIST1H3D,1
HIST1H4H,1
BTN3A1,1
BTN3A3,1
HIST1H2BK,2
ZSCAN16,1
HLA.F_ENSG00000204642,1
HLA.A_ENSG00000206503,1
HLA.E_ENSG00000204592,1
IER3_ENSG00000137331,2
HLA.C_ENSG00000204525,1
HLA.B_ENSG00000234745,1
MICB_ENSG00000204516,1
AIF1_ENSG00000204472,2
CLIC1_ENSG00000213719,1
HSPA1A_ENSG00000204389,1
HSPA1B_ENSG00000204388,1
C2_ENSG00000166278,1
RNF5_ENSG00000204308,2
HLA.DRB1_ENSG00000196126,1
TAP2_ENSG00000204267,1
PSMB8_ENSG00000204264,1
PSMB9_ENSG00000240065,1
TAP1_ENSG00000168394,1
HLA.DPA1_ENSG00000231389,1
HLA.DPB1_ENSG00000223865,1
TAPBP_ENSG00000231925,1
RPL10A,2
FKBP5,1
ETV7,1
FGD2,1
CMTR1,1
RPL7L1,2
CNPY3,2
KLHDC3,2
HSP90AB1,1
CD2AP,1
PTP4A1,1
MB21D1,1
EEF1A1,2
FAM46A,1
AKIRIN2,1
SEC63,2
SNX3,1
CD164,1
GTF3C6,2
MARCKS,1
FAM26F,1
SMPDL3A,2
NCOA7,1
ECHDC1,2
ARHGAP18,2
VNN2,2
IFNGR1,2
TNFAIP3,1
CITED2,1
PHACTR2,1
STX11,1
TAB2,1
PCMT1,1
DYNLT1,1
EZR,1
TAGAP,1
MRPL18,1
MAP3K4,2
SFT2D1,1
RNASET2,1
PSMG3,2
CHST12,1
ACTB,2
RAC1,2
KDELR2,2
C1GALT1,1
NDUFA4,2
PHF14,2
SCIN,1
IL6,1
SNX10,1
CPVL,1
NT5C3A,1
HERPUD2,1
EEPD1,2
GPR141,1
PSMA2_ENSG00000106588,1
STK17A,1
BLVRA,1
H2AFV,2
TPST1,2
NCF1_ENSG00000158517,1
MDH2_ENSG00000146701,2
HSPB1,1
YWHAG,2
FGL2,1
TMEM60,1
SAMD9,1
SAMD9L,1
BET1,1
BRI3,1
ARPC1B,2
ATP5J2,2
LAMTOR4,2
PILRA,1
POP7,2
TRIM56,1
ZNHIT1,2
FIS1,2
SH2B2_ENSG00000160999,1
HBP1,1
ZNF277,1
TFEC,1
TES,1
CAPZA2,1
TMEM140,1
ZC3HAV1,1
TBXAS1,2
PARP12,1
MKRN1,1
SSBP1_ENSG00000106028,2
CLEC5A_ENSG00000258227,2
AC093673.5,2
CUL1,1
GIMAP8,1
GIMAP7,1
GIMAP4,1
GIMAP2,1
GIMAP5,1
NUB1,1
INSIG1,2
MSL3,1
TLR7,1
TMSB4X,2
RAB9A,1
RBBP7,2
SCML1,1
RPS6KA3,2
SMS,2
PRDX4,1
ACOT9,1
SAT1,1
CXorf21,1
ATP6AP2,2
NDUFB11_ENSG00000147123,2
TIMP1,2
SLC38A5_ENSG00000017483,1
RBM3_ENSG00000102317,2
RPS4X,2
MAGT1_ENSG00000102158,1
PGK1_ENSG00000102144,2
GLA_ENSG00000102393,2
BEX4,2
SLC25A5,2
LAMP2,1
C1GALT1C1,1
XIAP,1
ABCD1_ENSG00000101986,1
FLNA_ENSG00000196924,2
RPL10_ENSG00000147403,2
FAM50A_ENSG00000071859,2
LAGE3_ENSG00000196976,2
G6PD_ENSG00000160211,2
CLIC2_ENSG00000155962,1
CTD.2336O2.1,2
DEFB1,1
CTSB,1
MSR1,1
PDGFRL,1
PCM1,2
ATP6V1B2,1
ADAMDEC1,1
PPP2R2A,1
TMEM66,1
LEPROTL1,1
EIF4EBP1,2
IDO1,1
KAT6A,2
VDAC3,2
ATP6V1H,1
LYN,1
SDCBP,1
TRAM1,1
RPL7,2
TMEM70,2
RIPK2,1
NBN,1
DECR1,1
GS1.251I9.4,2
PLEKHF2,1
UQCRB,2
SDC2,2
EIF3E,2
EIF3H,2
EXT1,1
MRPL13,2
DERL1,1
MTSS1,2
ST3GAL1,2
LYPD2,1
LY6E,1
GSDMD,1
PARP10_ENSG00000178685,1
CYC1,2
MAF1,2
RPL8,2
C8orf33,2
CBWD1,1
DOCK8,1
JAK2,1
PLGRKT,1
CD274,1
RANBP6,2
TTC39B,1
PLIN2,2
RPS6,2
PTPLAD2,1
C9orf72,1
DDX58,1
DNAJA1,1
BAG1,1
CHMP5,1
GLIPR2,1
CBWD5,1
ANXA1,1
FRMD3,1
CTSL,1
NINJ1,1
AAED1,1
TDRD7,1
ANP32B,2
TRIM14,1
NR4A3,1
STX17,1
ERP44,1
TXN,1
SLC31A2,1
TLR4,1
TRAF1,1
CNTRL,1
STOM,1
PPP6C,2
PTRH1,2
ENG,2
SET,2
TOR1B,1
C9orf78,2
NUP214,2
RPL7A_ENSG00000148303,2
BRD3,2
FCN1,1
UBAC1,2
AGPAT2,2
SNHG7,2
TMEM141,2
EDF1,2
MRPL41,2
GTPBP4,2
PFKP,1
KLF6,1
IL15RA,1
PFKFB3,1
NUDT5,2
CDC123,2
OPTN,1
PRPF18,2
ARL5B,1
PLXDC2,2
COMMD3,2
ABI1,1
MASTL,1
MAP3K8,2
ITGB1,2
CREM,1
RASSF4,1
UBE2D1,1
JMJD1C,1
PPA1,1
C10orf54,2
ANAPC16,2
DDIT4,2
ADK,2
KCNMA1,1
PPIF,2
ANXA11,2
CCSER2,1
GLUD1,1
LIPN,2
ANKRD22,1
ACTA2,1
FAS,1
CH25H,1
IFIT2,1
IFIT3,1
IFIT1,1
IFIT5,1
PCGF5,1
MYOF,1
BLNK_ENSG00000095585,1
PIK3AP1,1
PGAM1,2
SLC25A28,1
BLOC1S2,1
PKD2L1,1
NDUFB8_ENSG00000166136,2
WBP1L,2
NT5C2,1
GSTO1,1
DUSP5,1
CASP7,1
PRDX3,2
BCCIP,2
IFITM2,1
IFITM1,1
IFITM3,1
SIGIRR,2
HRAS,2
IRF7,1
TALDO1,2
POLR2L,2
CTSD,1
MRPL23,2
ASCL2,1
CDKN1C,1
TRIM21,1
TRIM5,1
TRIM22,1
ILK,1
MRPL17,1
EIF3F,2
SWAP70,2
ADM,1
EIF4G2,2
ZBED5.AS1,2
PDE3B_ENSG00000152270,2
LDHA,2
EIF3M,2
PRRG4,1
CD59,1
LMO2,1
CAT,2
CD44,2
MDK,1
TIMM10,2
UBE2L6,1
SERPING1,1
TMX2,2
C11orf31,2
FAM111A,1
PATL1,1
MS4A6A,1
MS4A4A,1
MS4A7,1
PRPF19,2
FTH1,2
POLR2G,2
RARRES3,1
HRASLS2,1
PLA2G16,1
ATL3,1
FERMT3,2
PRDX5,2
EHD1,2
BATF2,1
CDC42EP2,1
FAM89B,2
AP5B1,1
CFL1,2
DRAP1,1
BANF1,2
CATSPER1,2
YIF1A,2
ZDHHC24,2
POLD4,2
RAD9A,1
PPP1CA,2
RPS6KB2,2
CORO1B,2
TMEM134,2
GSTP1,2
UNC93B1,1
NDUFS8,2
TCIRG1,2
LAMTOR1,2
UCP2,2
ARRB1,2
RPS3,2
CTSC,1
FUT4,1
ENDOD1_ENSG00000149218,1
BIRC3,1
TMEM123,1
CASP4,1
CASP1,1
CARD16,1
FDX1,2
RBM7,1
FXYD6,1
AMICA1,2
ATP5L_ENSG00000167283,2
KMT2A_ENSG00000118058,2
SORL1,2
HSPA8,1
APLP2,2
THYN1,2
ACAD8,2
ERC1,2
PARP11,1
NDUFA9,1
CD9,2
MRPL51,2
GAPDH,2
LAG3,1
TPI1_ENSG00000111669,2
CD163,1
C3AR1,1
M6PR,2
CLEC2D,1
CD69,1
CLEC2B,1
CLEC7A,1
BCL2L14,1
EMP1,1
ARHGDIB,2
MGST1,2
ETNK1,1
STK38L,2
RP1.197B17.3,1
FKBP11,1
COX14,2
SLC11A2,1
EIF4B,2
PFDN5,2
ATP5G2,2
HNRNPA1,2
COPZ1,2
NCKAP1L,2
PA2G4,2
MYL6,2
CNPY2,2
STAT2,1
RBMS2,1
ATP5B,2
NACA,2
STAC3,1
DDIT3,1
USP15,1
HELB,1
RAP1B,2
SLC35E3,2
CCT2,2
GLIPR1,2
PHLDA1,2
NAP1L1,2
OSBPL8,2
DUSP6,1
ATP2B1,2
BTG1,2
SNRPF,2
LTA4H,2
SLC25A3,2
DRAM1,1
CKAP4,1
CMKLR1,1
ISCU,2
USP30.AS1,1
ARPC3,2
VPS29,1
NAA25,1
TRAFD1,1
RPL6,2
OAS1,1
OAS3,1
OAS2,1
SDS,1
SDSL,1
RPLP0,2
TRIAP1,2
SRSF9,2
DYNLL1,2
OASL,1
P2RX7,1
ARL6IP4,2
DDX55,2
UBC,1
SLC15A4,1
MPHOSPH8,2
SAP18,1
PARP4,1
RPL21,2
POMP,1
BRCA2,1
N4BP2L1,1
CCNA1,1
NHLRC3,1
ELF1,1
RGCC,2
EPSTI1,1
TPT1,1
LCP1,2
ITM2B,1
PHF11,1
IRG1,1
TNFSF13B,1
CDC16,2
OXA1L,2
LRP10,1
PSME1,1
PSME2,1
IRF9,1
TGM1,1
SDR39U1,2
SNX6,1
BAZ1A,1
SRP54,1
FAM177A1,1
KLHDC2,2
TMX1,1
ERO1L,1
DDHD1,1
SAMD4A,1
GCH1,1
DHRS7,2
MAX,1
NUMB,2
NPC2,1
FOS,2
AHSA1,1
SPTLC2,1
CALM1,1
RIN3,2
IFI27,1
EVL,1
WARS,1
HSP90AA1,1
CKB,1
SIVA1,2
PLD4,1
THBS1,2
EHD4,1
ZNF106,2
B2M,1
TRIM69,1
C15orf48,1
SQRDL,1
EID1,2
SPPL2A,1
LYSMD2,1
RSL24D1,2
AQP9,1
GTF2A2,2
ANXA2,1
LACTB,1
RAB8B,1
APH1B,2
FAM96A,2
OAZ2,2
SPG21,2
RPL4,2
PKM,2
PML,1
IMP3,2
RCN2,2
TSPAN3,2
PSMA4,1
MORF4L1,2
CTSH,2
MTHFS,2
MESDC2,1
NMB,2
SEC11A,2
ISG20,1
HAPLN3,1
IDH2,1
CIB1,2
FURIN,2
MEF2A,1
C16orf13,2
UBE2I,2
MRPS34,2
HAGH,2
NDUFB10,2
RPS2,2
GFER,2
PGP,2
SRRM2,2
TCEB2,2
FLYWCH2,2
MEFV,1
HMOX2,2
NUDT16L1,2
CARHSP1,2
RMI2,1
SOCS1,1
SNN,1
RSL1D1,2
IGSF6,1
NDUFAB1,2
NSMCE1,2
IL4R,2
IL27,1
NUPR1,1
TUFM,2
KIF22,2
MVP,1
TMEM219,1
ALDOA,2
YPEL3,2
CORO1A,2
ORAI3,2
BCKDK,2
N4BP1,1
MT2A,1
KIFC3_ENSG00000140859,2
CKLF,2
CMTM3,2
TRADD,1
EXOC3L1,1
NUTF2,2
DPEP2,2
GLG1,2
MLKL,1
TMEM170A,1
KARS,1
CMC2,1
MPHOSPH6,2
HSBP1,1
DNAAF1,1
COTL1,2
COX4I1,2
IRF8,1
APRT,2
GLOD4,2
RILP,1
TAX1BP3,2
SLC25A11,2
PFN1,2
SCIMP,1
C1QBP,2
XAF1,1
ASGR1,2
CHRNB1,1
SAT2,1
TMEM107,2
RANGRF,2
RPL26,2
PMP22,2
UBB,1
PRPSAP2,2
WSB1,1
LGALS9,1
SDF2,1
RAB34,2
CPD,2
ZNF207,1
CCL2,1
CCL7,1
CCL8,1
SLFN5,1
SLFN12,1
RP11.1094M14.11,2
CCL3,1
CCL4,1
CTB.58E17.1,2
CISD3,2
RPL23,2
IGFBP4,1
CCR7,1
KRT10,2
JUP_ENSG00000173801,1
EIF1,1
CNP_ENSG00000173786,1
DHX58_ENSG00000108771,1
STAT3,1
IFI35,1
SLC25A39,2
ARHGAP27,1
KPNB1,1
CBX1,2
CALCOCO2,1
ATP5G1,2
UBE2Z,1
SCPEP1,1
MIR142,1
PSMC5,2
CD79B,2
ICAM2,1
DDX5_ENSG00000108654,2
CD300E,1
ATP5H,2
MRPS7,2
H3F3B,1
JMJD6,2
SOCS3,2
PGS1,2
LGALS3BP,1
RNF213,1
ACTG1_ENSG00000184009,2
ANAPC11,2
SLC16A3,2
TBCD,2
SMCHD1,1
LPIN2,1
MYL12A,1
EPB41L3,2
RAB31,1
VAPA,2
SNRPD1,2
RNF138,1
MAPRE2,2
C18orf25,1
RPL17,2
TCF4,1
PMAIP1,1
CNDP2,1
RBCK1,1
FKBP1A,2
IDH3B,2
SIGLEC1,1
PANK2,1
RASSF2,2
TMEM230,2
CDS2,1
GPCPD1,2
DSTN,2
RRBP1,1
SNX5,2
RIN2,1
NXT1,2
CST3,1
APMAP,2
HCK,2
MAP1LC3A,2
PHF20,2
C20orf24,1
SAMHD1,1
RPN2,2
MAFB,1
TOP1,1
CTSA,2
CD40,1
PREX1,2
ZNFX1,1
RNF114,1
CEBPB,2
RP11.290F20.3,2
ZBP1,1
PMEPA1,2
CTSZ,1
PSMA7,2
OGFR,1
PPDPF,2
HELZ2,1
BSG,2
CNN2,2
POLR2E,2
GPX4,2
NDUFS7,2
UQCR11_ENSG00000127540,2
PLEKHJ1,2
OAZ1,2
TIMM13,2
GADD45B,1
AES,1
GNA15,2
S1PR4,2
EEF2,2
EBI3,1
LRG1,2
TNFAIP8L1,2
NDUFA11,2
ALKBH7,2
GPR108,2
MCOLN1,2
PNPLA6,2
STXBP2,2
C19orf59,2
ELAVL1,2
MARCH2,2
HNRNPM,2
MYO1F_ENSG00000142347,2
PIN1,2
C19orf66,1
PPAN,2
EIF3G,2
ICAM3,2
TMEM205,2
RAD23A,2
GADD45GIP1,2
IER2,1
CACNA1A,1
C19orf53,2
IL27RA,2
RASAL3,2
RAB8A,1
HSH2D,1
BST2,1
CTD.2521M24.9,1
PGLS,2
MAP1S,2
LSM4,2
NDUFA13,2
CEBPG,2
FFAR2,1
TMEM147,2
PSENEN,2
TYROBP,1
SDHAF1,2
FAM98C,2
EIF3K,2
ECH1,2
SIRT2,2
MRPS12,2
SUPT5H,2
AXL,1
HNRNPUL1,2
DEDD2,2
PVRL2,1
TOMM40,2
ERCC1,2
PRKD2,1
SLC1A5,2
AP2S1,2
NAPA,1
RPL18,2
NUCB1,1
BAX,2
PIH1D1,2
ALDH16A1,2
RPL13A,2
FCGRT,1
RRAS,2
MED25,1
IL4I1,1
NUP62,1
ATF5,1
SIGLEC10,2
FPR3,1
PRPF31_ENSG00000105618,2
LILRB2_ENSG00000131042,1
LILRA3_ENSG00000170866,1
LILRA5_ENSG00000187116,1
LILRB1_ENSG00000104972,1
LILRB4_ENSG00000186818,1
CTB.61M7.2_ENSG00000268734,2
RPL28,1
A1BG,2
RPS5,2
CECR1,1
UFD1L,2
RANBP1,2
SDF2L1,2
PPM1F,2
SMARCB1,2
SNRPD3,2
TPST2,2
EWSR1,1
UQCR10,2
OSM,2
TCN2,1
SELM,2
RTCB,1
FBXO7,1
APOL6,1
APOL3,1
APOL2,1
APOL1,1
MYH9,2
TXN2,2
CYTH4,2
LGALS2,1
GGA1,2
EIF3L,2
TOMM22,2
APOBEC3A_ENSG00000128383,1
APOBEC3F,1
APOBEC3G,1
RPL3,2
RPS19BP1,2
RBX1,1
PMM1,2
DESI1,1
XRCC6,2
NHP2L1,2
TSPO,2
PRR5,1
KIAA0930,2
TTC38,1
PIM3,1
SELO,1
SCO2,1
TYMP,1
CTA.384D8.35,1
SAMSN1,1
BTG3,1
MIR155HG,1
CCT8,2
SOD1,2
IL10RB.AS1,2
IFNAR1,2
GART_ENSG00000159131,1
CBR1,1
HMGN1,2
MX2,1
MX1,1
