genes,cluster
HES4,1
ISG15,1
AURKAIP1,2
SSU72,2
NADK,1
C1orf86,2
RPL22,2
PARK7,2
ENO1,2
PGD,2
FBXO6,1
TNFRSF1B,2
NECAP2,1
AKR7A2,2
CAPZB,2
C1QA,1
C1QB,1
HNRNPR,2
ID3,2
RPL11,2
FUCA1,2
CLIC4,1
TMEM50A,1
SH3BGRL3,2
RPS6KA1,2
IFI6,1
ATPIF1,2
SRSF4,1
LAPTM5,1
EIF3I,2
HDAC1,2
MARCKSL1,2
RNF19B,1
ADPRHL2,1
MRPS15,2
C1orf122,2
UTP11L,2
RRAGC,1
NDUFS5,2
PABPC4,2
PPIE,2
PPT1,2
SMAP2,1
YBX1,2
ATP6V0B,2
NASP,1
MOB3C,1
CMPK1,2
OSBPL9,1
AK4,1
PDE4B,1
NEXN,1
DNAJB4,1
IFI44L,1
IFI44,1
GNG5,1
MCOLN2,1
ODF2L,1
SH3GLB1,1
LMO4,1
GTF2B,1
GBP3,1
GBP1,1
GBP7,1
GBP4,1
GBP5,1
RPL5,2
PSMA5,1
GNAI3,1
AMPD2,2
LAMTOR5,2
CD53,1
ATP5F1,2
C1orf162,2
MOV10,1
ATP1A1,2
FAM72B_ENSG00000188610,1
FCGR1B_ENSG00000198019,1
RP11.343N15.5_ENSG00000269996,1
TXNIP_ENSG00000117289,1
FCGR1A_ENSG00000150337,1
HIST2H2BE_ENSG00000184678,1
MTMR11_ENSG00000014914,1
PLEKHO1_ENSG00000023902,1
MCL1,1
CTSS,1
PSMB4,2
S100A11,1
S100A9,2
S100A8,2
S100A6,2
S100A4,2
S100A2,2
SLC27A3_ENSG00000143554,1
JTB,2
RPS27,2
TPM3,1
ADAR,1
PMVK,2
DAP3,2
SSR2,2
CCT3,2
CD1D,1
MNDA,1
IFI16,1
AIM2,1
DUSP23,2
CD48,1
SLAMF7,1
UFC1,2
FCGR3B,1
UAP1,2
CREG1,1
TIPRL,1
SFT2D2,1
BLZF1,1
SELL,1
PRDX6,1
RABGAP1L,1
KIAA0040,1
TOR3A,1
QSOX1,2
GLUL,1
RGL1,1
CDC73,1
DENND1B,1
ADIPOR1,2
RAB7L1,1
SRGAP2_ENSG00000163486,1
IKBKE_ENSG00000143466,1
ATF3,1
BATF3,1
LYPLAL1,2
MIA3,1
CAPN2,1
CNIH4,1
H3F3A,2
MRPL55,2
COA6,1
TARBP1,1
ARID4B,1
ADSS,2
AHCTF1,2
RPS7,2
CMPK2,1
RSAD2,1
ID2,2
IAH1,2
YWHAQ,1
TAF1B,1
PDIA6,1
FAM49A,1
UBXN2A,1
ASXL2,2
PPM1G,2
RASGRP3,1
EIF2AK2,1
QPCT,2
CYP1B1,2
GALM,1
GEMIN6,2
COX7A2L,2
RPS27A,2
PNPT1,1
PELI1,1
PLEK,1
ARHGAP25,1
MXD1,1
TIA1,1
NAGK,1
PRADC1,2
CCT7,2
MOB1A,1
MTHFD2,1
HTRA2,2
HK2,1
TMSB10,1
VAMP8,2
VAMP5,1
ST3GAL5,1
RPIA,2
MRPS5,2
ARID5A,1
PDCL3,2
MAP4K4,2
LIMS1,2
IL1B,2
IL1RN,1
CBWD2,1
DDX18,2
DBI,2
RALB,1
CXCR4,2
HNMT,2
NMI,1
TNFAIP6,1
ARL6IP6,1
CYTIP,2
RBMS1,1
TANK,1
PSMD14,2
IFIH1,1
GCA,1
PPIG,2
SSB,1
METTL5,2
HAT1,2
MLTK,2
CIR1,1
WIPF1,1
ATP5G3,2
HNRNPA3,2
STAT1,1
NABP1,1
PGAP1,1
SPATS2L,1
CFLAR,1
CASP10,1
CASP8,1
EEF1B2,2
XRCC5,2
AAMP,2
SLC11A1,2
CYP27A1,2
CNPPD1,1
TUBA4A,2
WDFY1,1
PID1,2
SP110,1
SP140,1
SP140L,1
SP100,1
PTMA,2
UBE2F,1
PPP1R7,2
DTYMK,2
CAMK1,2
EMC3,2
BRK1,2
SLC6A6,1
SH3BP5,2
DPH3,1
RPL15,2
AZI2,1
TRANK1,1
LRRFIP2,1
GOLGA4,1
ACAA1,2
MYD88,1
CSRNP1,1
RPSA,2
RPL14,2
EXOSC7,2
CCR1,1
CCR5,1
CCRL2,1
CCDC12,2
SMARCC1,2
TREX1,1
UQCRC1,2
GPX1,2
TEX264,2
TWF2,2
SPCS1,2
TMEM110,1
SFMBT1,1
TKT_ENSG00000163931,2
SELK,1
ARHGEF3,1
HESX1,1
APPL1,1
PXK,2
ARL6IP5,2
EIF4E3,1
LINC00877,2
C3orf38,1
CLDND1,1
TFG,1
NFKBIZ,2
ALCAM,2
BBX,1
CD47,1
IFT57,2
ATG3,1
TIMMDC1,2
CD80,1
COX17,1
HCLS1,2
CD86,1
PARP9,1
DTX3L,1
PARP14,1
ABTB1,2
CNBP,2
MRPS22,2
RNF7,2
ATP1B3,2
XRN1,1
PLSCR1,1
SSR3,1
TIPARP,1
GFM1,2
SEC62,2
RPL22L1,2
TNFSF10,1
MFN1,1
GNB4,1
NDUFB5,2
LAMP3,1
KLHL24,1
PARL,2
RTP4,1
CCDC50,1
KIAA0226,1
RPL35A,2
LRPAP1,2
WDR1,2
CD38,1
LAP3,1
PI4K2B,1
RPL9,2
SMIM14,1
COMMD8,2
SRD5A3,2
SRP72,2
STAP1,1
DCK,1
IL8,2
CXCL3,2
CXCL2,2
CXCL9,1
CXCL10,1
CXCL11,1
SCARB2,1
RASGEF1B,1
HNRNPDL,2
COPS4,2
PLAC8,1
HPSE,1
PPM1K,1
HERC6,1
HERC5,1
DAPP1,1
H2AFZ,2
SLC39A8,2
UBE2D3,1
CCDC109B,1
C4orf32,1
LARP7,1
C4orf3,1
ANXA5,1
EXOSC9,1
KIAA1109,1
