gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,0.412423146075402,-0.145750171760995,1.22286546182892,-0.0657950859568857,1,NA
HES4,7.94273762209752,5.57329092321716,0.871720229493434,44.4679349698126,2.58557446413986e-11,1.47196300633927e-09
ISG15,332.338029163205,5.9841705242098,0.357043854546732,218.077021343363,2.37597827509631e-49,1.5420099005375e-46
TNFRSF18,0.75724187897546,-0.827691087511409,1.1316902686464,0.815150513957867,0.366601867727875,0.716898910882569
TNFRSF4,6.63354811630911,-0.634972269315207,0.645007334748514,1.0016906777046,0.316901758885236,0.679224707782425
SDF4,2.42868648717021,0.532344076894794,0.545523462012951,0.974722234878264,0.323505284176013,0.68393742414323
UBE2J2,1.28178969091696,-0.352678076142358,0.766588081533456,0.228490282774871,0.632645527522133,0.787423027381207
PUSL1,0.138217575657668,-0.949957374780601,2.40612401686005,-0.0801007747137739,1,NA
CPSF3L,1.18805315237389,-0.945999667803607,0.882892659100372,1.12082860237006,0.28974010437649,0.655335969156398
GLTPD1,0.118514988591678,0.226054137495216,2.98056769044959,-0.255631413788787,1,NA
AURKAIP1,4.00765023315851,-0.555290437159691,0.479585233472833,1.36136070047847,0.243301799490863,0.623036380561462
CCNL2,0.252196199011649,-1.4203400990521,1.79267223080089,0.761580739783192,0.382834286489128,NA
RP4-758J18.2,0.279393618375031,-1.17663028778123,1.56422692064955,0.407868295778155,0.523053461945994,NA
MRPL20,3.48894071077339,-0.665139539888072,0.572960106580941,1.47498664150281,0.224560559122113,0.6052317394944
SSU72,3.70586245139633,-0.0623148921305545,0.536662353685052,0.0272321433713785,0.868926945247045,0.900564655805385
MIB2,0.244028062926958,-1.4201001852894,1.53690975073178,0.963090656455549,0.326409415602048,NA
CDK11A,0.558249444695903,-0.610491870294351,1.26889651354228,0.503533764887433,0.477951518172277,NA
NADK,0.551785346283793,1.09921355413935,1.03140329928311,1.9417676987491,0.163476728621937,NA
GNB1,2.23012261425688,-0.0212299951552442,0.556781375395682,0.00229452272309771,0.961795001649178,0.966860216961457
C1orf86,1.40854244293644,0.634576024426453,0.730446176906037,0.87840632426682,0.34863854611727,0.701723019802951
SKI,0.0372783801474135,-0.0328047972917197,3.05451269448069,-0.944308238985565,1,NA
RER1,6.31698634997913,0.158349697225078,0.33235540209772,0.22820213695347,0.632860132980527,0.787423027381207
PANK4,0.0811033599814331,-0.5260098942975,3.05293585071049,-0.447957576192438,1,NA
RP3-395M20.12,0.0945474468210362,-0.862973977569001,3.05016691360439,-0.304496649589797,1,NA
TNFRSF14,0.46618690043109,-0.0391272967231642,1.42066987837122,0.00720097065883607,0.932373858530536,NA
WRAP73,0.178460738166347,-0.66589699095897,1.89804957335281,-0.16175559816422,1,NA
LRRC47,0.236647668167829,0.840649079174878,1.53550449044611,0.557969421781529,0.455079552275477,NA
CEP104,0.411568037723253,0.769430981471956,1.43900269223481,0.704692219248212,0.401211517961357,NA
C1orf174,0.424849116722935,0.556056015363406,1.3386996298767,0.484583330752102,0.486353558117392,NA
KCNAB2,0.482697637422924,-2.26973757070213,2.38582831282179,1.02620664274282,0.311051286425978,NA
RPL22,6.32098906307931,-0.68070969124699,0.370922656432427,3.80709584029481,0.0510358673893308,0.293117503855537
ICMT,0.0185375264415225,-0.118320165363286,3.05500832751425,-1.19984115810942,1,NA
TNFRSF25,0.035564795865662,-0.0328047972917194,3.05451269448069,-0.966854552416925,1,NA
NOL9,0,NA,NA,NA,NA,NA
ZBTB48,0.0192702160097115,-0.701142208501474,3.05571715715061,-1.11156959593206,1,NA
THAP3,0.200075259685083,0.548437910998772,2.21872865124371,-0.00723368476664632,1,NA
CAMTA1,2.79163935163733,0.483721980037173,0.563043102867067,0.858789065289088,0.354077785027132,0.707066099946489
VAMP3,0.73581087151232,-2.12775256359812,1.0788665701035,4.57964777540945,0.0323538646605277,0.217818030753968
TNFRSF9,0.329248029418028,-0.587074852787418,1.2266685493396,0.235279931920495,0.62763617722479,NA
PARK7,12.8765841396945,0.0193197399139649,0.327863350366279,0.0077208703226006,0.929981206526908,0.942470023479019
RERE,0.65473903456348,1.03599009023491,1.37979705219214,0.897318972007952,0.343501611905281,0.699288605925618
ENO1,16.1128226440431,-0.939157417443211,0.268497610875375,12.5324888463553,0.000399936737209273,0.00675934745960464
CA6,0,NA,NA,NA,NA,NA
GPR157,2.39431539868946,-1.08109919394988,0.752197016250702,2.28005255004296,0.13104743338898,0.479964922513815
SPSB1,0.319998929357912,1.26171736484193,1.44186319059319,1.3490152234001,0.245450350565941,NA
SLC25A33,1.48126789128279,-1.86652724648567,0.849224027399497,5.22682562431487,0.0222410877556163,0.168064472305839
PIK3CD,0.064643075335599,-0.0328047972917195,3.05451269448069,-0.655976821231267,1,NA
CLSTN1,0.0616721834484877,-0.294549870810941,3.05312409821996,-0.610792581994362,1,NA
CTNNBIP1,1.95998755799492,-1.92107681048745,0.7169987606531,8.03125590966404,0.0045976948728639,0.0514930843227836
LZIC,0.646979763274744,-0.677095868032148,1.51610469749983,0.259170243373759,0.610690782523302,0.786073617329677
UBE4B,0.749710133883789,-0.551202572724431,1.18833981218701,0.535529286096157,0.464291464025231,0.748403574033158
KIF1B,0.245168546885617,1.41149873991548,1.73922568175265,1.12028311104813,0.28985750098513,NA
PGD,1.94435666561451,-0.450573549952612,0.6832233320553,0.471855924501249,0.492134593303811,0.760444950175999
APITD1,0.533392031265085,-0.740710599778223,1.20245878224534,0.612462513610161,0.433862133970743,NA
DFFA,0.371530025355248,0.177995838600657,1.23171837457165,0.00867669655471559,0.925785359315745,NA
PEX14,0.0192702160097115,-0.701142208501474,3.05571715715061,-1.11156959593206,1,NA
TARDBP,0.647146262731053,-0.544428765057558,1.24209875094752,0.11595302360535,0.733465900109829,0.829452712466341
SRM,1.03231885499795,0.688132751829179,0.936827198492441,0.586898690115213,0.443620888013432,0.744800261628346
EXOSC10,0.434638607333287,-1.11705298190247,1.34956435615285,0.616791809291424,0.432241974061263,NA
UBIAD1,0.203549332520336,1.21076425416792,1.82113606974846,0.725112418146331,0.39447204628281,NA
FBXO6,3.88461684221578,1.99064760572295,0.53728829657168,14.7102815304087,0.000125360878168024,0.00254247531034523
MAD2L2,0.997524308322481,-0.892727639840955,0.991032918234904,0.893215119550078,0.344607525680709,0.699592935429251
AGTRAP,0.462140261357188,1.4027459158328,1.29524502475678,1.71185950497793,0.190744286883838,NA
MTHFR,0.261125209819221,-1.29133120124911,1.54311762592855,0.821954473419659,0.364609342822415,NA
KIAA2013,0.494683265850405,-0.702039932630599,1.34545729416407,0.23805149897505,0.625616980354351,NA
MIIP,0.650825419299283,0.22402110568785,1.34755147282069,0.0529802890139308,0.817956195264883,0.868995909969356
TNFRSF1B,1.46220661655139,-1.17303430841832,0.711795310720893,3.24644404891869,0.0715785894643718,0.36073559687729
PDPN,0,NA,NA,NA,NA,NA
PRDM2,0.447860496903541,-0.172760976831071,1.28604271751681,0.0158094763671812,0.89994110976648,NA
TMEM51,0.827731677976721,-0.677237938667952,1.07659445898786,0.634055077875544,0.425871774459532,0.741645032688653
EFHD2,1.98242054323146,-1.02969188065581,0.701330547859032,2.35374487004709,0.1249824430279,0.470757073895254
CASP9,0.0380049601897569,-0.847086086726562,3.05503351992078,-0.849915844887889,1,NA
DDI2,0,NA,NA,NA,NA,NA
PLEKHM2,0.0424019674387762,-0.0328047972917195,3.05451269448069,-0.880692276291166,1,NA
RP11-169K16.9,0.22889004524767,-0.392568788227058,1.76391468463992,-0.111865078141243,1,NA
SPEN,0.672493189741382,-0.854592020664506,1.11798531975747,0.526019513148078,0.468285163131127,0.750042129496795
ZBTB17,0.389032071378007,-0.782459197362873,1.34814240359634,0.30069825449198,0.58344500874062,NA
FBXO42,0.252610843932437,0.0786892921297658,1.83753476804497,-0.0310750935033823,1,NA
SZRD1,1.81151024867779,0.597401255745202,0.642052177168957,1.12039513259906,0.289833387590858,0.655335969156398
NECAP2,3.10357493645364,0.0234709348278335,0.485457281110096,0.384521962677169,0.535193038955557,0.771848124486316
CROCCP2,0.185503615390908,-1.82207905494816,2.23663089404267,0.761182380073642,0.382958752966092,NA
SDHB,2.00862682985929,0.677072021117777,0.743147195233025,0.850759872645035,0.356337462348321,0.70852638806391
RCC2,0.75630604991547,-2.62802820735814,1.52725046391002,3.48408115112537,0.061961750632648,0.333479756987284
ARHGEF10L,0.104967800978687,-0.440494045726905,3.05243988079924,-0.320859800114212,1,NA
UBR4,0.291088730963374,0.256544455222024,1.57645649739254,0.201669550553152,0.653376594483643,NA
EMC1,0.186685295547417,-1.2253851089874,2.66638191055303,0.341605728751103,0.558903828062652,NA
MRTO4,0.666512783952912,0.352920884515046,1.10741720748451,0.203247031918337,0.652112602827861,0.798878510598345
AKR7A2,0.777624764423625,-0.111470961991334,1.09023675613868,0.322288381180144,0.570235646304769,0.776771449639691
CAPZB,8.11940358160307,-0.474476891766203,0.338939398707015,2.05742432473042,0.151466005302843,0.509157627522841
MINOS1,3.01425956689305,0.0750717874586784,0.514453900927755,0.423153899289645,0.51536749047007,0.766964231292775
MUL1,0.0836013781878064,-1.228667566897,3.05182237839912,-0.23865950851094,1,NA
CDA,0,NA,NA,NA,NA,NA
DDOST,1.17727624620592,0.519935297564965,0.799945132366636,0.685917856571521,0.407556349379568,0.740797277129115
HP1BP3,1.6294564513865,-0.518048122294856,0.778934156336486,0.570349035249095,0.45012025240984,0.745325113814086
ECE1,0.377582981374596,-1.23452874035733,1.49183381004539,0.807788614073811,0.368774856312618,NA
USP48,0.821110677819461,0.973827796594351,1.0364751531022,1.22713216580393,0.267965489338015,0.638903756724364
CDC42,6.08969847518855,-0.288937291466849,0.353635751563839,0.754627681358812,0.385015022974695,0.727418584447728
C1QA,0.0185375264415225,-0.118320165363286,3.05500832751425,-1.19984115810942,1,NA
C1QB,0.212009837193881,1.26501693919015,3.03690962255629,0.293042946987205,0.58827710475477,NA
KDM1A,0.150892715713793,-0.580138679306278,2.42421565228607,-0.182525098270052,1,NA
LUZP1,0.221840550512463,-1.10833195311408,1.58768324663253,0.533533498165479,0.465125080151728,NA
HNRNPR,4.29593083964848,-0.192732883141875,0.436616907289919,0.270425574468263,0.603046436165087,0.784686111096602
ID3,4.01840992850656,0.127302540133357,0.846947881980372,0.023980405472642,0.876934779057359,0.906547740694848
RPL11,75.0657230097818,0.0831671744910873,0.222591401991494,0.181852652958185,0.669785910575126,0.808577113026892
TCEB3,0.732683842192012,1.39219366832448,1.04552980402939,2.09171997655955,0.148099251210079,0.506166414404834
PITHD1,1.17160013280694,-0.982256969313267,0.884740791414073,1.35093530606227,0.245114671891836,0.624645517204721
LYPLA2,0.489381772906608,1.11257914765789,1.17525536020146,1.34531420147257,0.246098967870009,NA
HMGCL,0.2706006767008,0.72212451390674,1.54899506196383,0.435846824761807,0.509133858084513,NA
