genes,cluster
ISG15,1
IFI6,1
IFI44L,1
IFI44,1
GBP1,1
GBP4,1
PSMA5,1
IFI16,1
CD48,1
SELL,1
CMPK2,1
RSAD2,1
EIF2AK2,1
PNPT1,1
TMSB10,1
IFIH1,1
STAT1,1
SPATS2L,1
SP110,1
SP100,1
TREX1,1
PARP14,1
PLSCR1,1
TNFSF10,1
RTP4,1
LAP3,1
CXCL10,1
PLAC8,1
PPM1K,1
HERC5,1
ANXA2R,1
C5orf56,1
PSMB8_ENSG00000204264,1
PSMB9_ENSG00000240065,1
CD164,1
DYNLT1,1
NT5C3A,1
SAMD9,1
SAMD9L,1
GIMAP7,1
GIMAP4,1
NUB1,1
SAT1,1
IDO1,1
LY6E,1
DDX58,1
CHMP5,1
IFIT3,1
IFIT1,1
IFITM2,1
IFITM1,1
IFITM3,1
IRF7,1
TRIM22,1
UBE2L6,1
MALAT1,1
DRAP1,1
TMEM123,1
LAG3,1
CLEC2D,1
OAS1,1
OAS3,1
OASL,1
EPSTI1,1
TNFSF13B,1
PSME1,1
PSME2,1
IFI27,1
B2M,1
ISG20,1
HAPLN3,1
SOCS1,1
MT2A,1
XAF1,1
CCL8,1
CCR7,1
IFI35,1
RBCK1,1
HELZ2,1
C19orf66,1
APOBEC3A_ENSG00000128383,1
MX2,1
MX1,1
