genes,cluster
RGCC,2
EPSTI1,1
LCP1,1
PHF11,1
MYCBP2,1
GPR180,1
TNFSF13B,1
APEX1,2
PSME1,1
PSME2,1
IRF9,1
TINF2,1
GZMB,1
SNX6,1
RPL36AL,1
CNIH1,2
GCH1,1
PSMA3,1
L3HYPDH,1
HIF1A,1
SYNE2,1
NPC2,1
WARS,1
PPP2R5C,1
HSP90AA1,1
GCHFR,2
EHD4,1
CCNDBP1,2
PDIA3,1
B2M,1
TRIM69,1
SQRDL,1
LYSMD2,1
ANXA2,1
PPIB,1
RPL4,2
ANP32A,2
PML,1
IMP3,2
PSMA4,1
IL16,2
ISG20,1
HAPLN3,1
IDH2,1
FES,1
VIMP,1
NME3,2
SOCS1,1
UQCRC2,2
GTF3C1,2
MVP,1
YPEL3,2
CORO1A,2
ORAI3,2
N4BP1,1
CYLD,1
MT2A,1
HERPUD1,1
TRADD,1
TMEM170A,1
COX4I1,2
CYBA,2
APRT,2
FANCA,1
XAF1,1
ACADVL,2
CHRNB1,1
CD68,1
VAMP2,2
MAP2K3,2
LGALS9,1
CCL2,1
CCL7,1
CCL8,1
SLFN5,1
RP11.47L3.1,2
CNP_ENSG00000173786,1
DHX58_ENSG00000108771,1
STAT3,1
IFI35,1
SLC25A39,2
KPNB1,1
CALCOCO2,1
ABI3,2
LRRC59,1
TRIM25,1
ICAM2,1
CD300A,2
H3F3B,1
SPHK1,1
SEPT9_ENSG00000184640,2
TMC6,2
SOCS3,1
LGALS3BP,1
RNF213,1
SMCHD1,1
LPIN2,1
MYL12A,1
C18orf25,1
RPL17,2
PMAIP1,1
CNDP2,1
RBCK1,1
MRPS26,2
CST7,2
APMAP,2
HM13,1
SAMHD1,1
CTSA,2
DDX27,2
ZNFX1,1
ZBP1,1
OGFR,1
PPDPF,2
HELZ2,1
GZMM,2
GPX4,2
ATP5D,2
CIRBP,2
MUM1,2
GADD45B,1
MATK,2
EEF2,2
DENND1C,2
C19orf59,2
C19orf66,1
EIF3G,2
PRDX2,2
TECR,2
TPM4,1
RAB8A,1
HSH2D,1
BST2,1
CTD.2521M24.9,1
LSM4,2
C19orf60,2
PLEKHF1,2
FXYD5,2
SIRT2,2
PRKD2,1
BBC3,2
NAPA,1
NUCB1,1
PRMT1,2
HSPBP1,2
SDF2L1,1
XBP1,1
HMOX1,1
APOL6,1
EIF3L,2
SUN2,2
APOBEC3A_ENSG00000128383,1
APOBEC3B,1
RPL3,2
PRR5,1
CRELD2,1
TYMP,1
ODF3B,1
MIR155HG,1
IFNAR2,2
TTC3,2
MX2,1
MX1,1
ITGB2,2
