gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,6.79371219581617,-0.383714756976625,0.330647505853118,1.37904234232762,0.240264338623156,0.6418796471437
HES4,2.8105105913334,1.73915907787461,0.6381334300594,7.33497423420683,0.00676256487847886,0.0957265474811373
ISG15,432.502260498134,4.65826489174873,0.1374853424538,1078.52508581779,1.53594798406135e-236,4.96802375444644e-233
TNFRSF18,7.14555516204119,-1.23785602297001,0.498317492386052,5.97826110911954,0.0144832750850483,0.167307690223531
TNFRSF4,4.17341915505354,-1.03788179440389,0.543514034314487,3.90092281454019,0.0482595926495656,0.358840580287402
SDF4,10.6604801333341,-0.146556763478498,0.333602539393039,1.02050270346713,0.312399796152636,0.662365921561321
UBE2J2,8.91131931889132,-0.301441405930295,0.299381143099211,1.13230303927635,0.287284629110159,0.654254611280755
PUSL1,1.22401830893809,-0.908025879374078,0.851459202388881,1.3964471469185,0.237319340925055,0.64028781050043
CPSF3L,4.80262755799477,-0.109331059306313,0.391864704622948,0.28277612167409,0.594887394617507,0.74797839716997
GLTPD1,1.86480414460065,-0.117147244753745,0.619311016664016,0.0803455463469902,0.776829682230261,0.830008553866961
AURKAIP1,20.9630578888912,0.116599374188521,0.184217305334673,0.64559194103775,0.421693098468952,0.695398372369134
CCNL2,5.05541654877882,-0.543043158982058,0.376375595148293,2.20561549150345,0.13750900039522,0.551422798110853
RP4-758J18.2,3.70850177532798,0.0392591028284669,0.489195115968069,0.195249858340588,0.658582657166684,0.774189581935896
MRPL20,17.0088067567657,0.0455653850798283,0.240839430429084,0.634611710343705,0.425668737040981,0.696054263695845
SSU72,18.605967902708,-0.300790594225892,0.219445273795789,1.90627059495766,0.167378116117823,0.591906580198906
MIB2,2.70107729422237,-0.286787970745913,0.532306069770806,0.86020085535008,0.353682489749539,0.676620994516751
CDK11A,4.37446248330096,-0.742734664239976,0.456944538332852,2.753338330091,0.0970516022763432,0.483687839079865
NADK,0.427250785424707,1.03908376139032,1.12108232986061,1.25889714366939,0.261859949508886,NA
GNB1,3.00161482962792,-0.0869315838350937,0.503963032088405,0.0890307137182305,0.765413037704971,0.824006813265678
C1orf86,6.43163945371382,-0.433418756978914,0.383304093373132,1.38721874284916,0.238875349419337,0.64119694414676
SKI,1.00021799873445,-0.264282836085936,0.723388281014412,1.27920540612535,0.25804682885572,0.6480243174762
RER1,21.7698451851837,0.130773401560147,0.200667223211786,0.427945043164812,0.512999010754902,0.721862296165127
PANK4,1.64790600557227,-0.467804178817593,0.745303754190231,0.628426935698769,0.427932911922583,0.696054263695845
RP3-395M20.12,0.816677643964522,1.07500162467402,0.960583875716335,1.78129814340242,0.181990002673646,0.606261538839569
TNFRSF14,6.75015590294262,0.050089132370748,0.334258101863794,0.543139520378489,0.461134511951779,0.703982300836333
WRAP73,3.4231065236252,-0.0519985032349404,0.45616260524975,0.0132395836516892,0.908394877897689,0.91919387847961
LRRC47,4.15075276197352,-0.112590483387064,0.549274014658756,0.920734273598811,0.337282249837827,0.672760457304053
CEP104,2.03816973553094,-0.114120586080452,0.579345332620418,0.884488605395234,0.346975226738616,0.67388114317622
C1orf174,5.83585825442884,-0.0134239718264226,0.325576028837987,0.259693194639055,0.610331012535701,0.753623080758437
KCNAB2,1.32841547086639,-0.654730333149883,0.750623814706349,0.856346285433681,0.354763181617845,0.676620994516751
RPL22,33.2328602679307,-0.489692400502955,0.186647131544365,6.9425532750794,0.00841688842534597,0.111804622635653
ICMT,1.46907983055336,-0.0518177012956989,0.66239378585622,0.0807403752169904,0.776296573451473,0.830008553866961
TNFRSF25,4.23344015442468,0.134750898453614,0.424998986718304,0.204557418065392,0.651067107213147,0.770237492486776
NOL9,0.777723521421758,1.67451612588248,0.974411708477236,3.76401728591144,0.052366621272057,0.372338173680777
ZBTB48,1.15502894028987,-1.49200484357941,0.877281254183906,3.19268954031909,0.0739682222676875,0.438819421375161
