genes,cluster
HES4,1
ISG15,1
ENO1,2
FBXO6,1
TMEM50A,1
IFI6,1
RRAGC,1
GADD45A,2
NEXN,1
DNAJB4,1
IFI44L,1
IFI44,1
GNG5,1
ODF2L,1
GBP1,1
GBP2,1
GBP4,1
MCL1,1
CTSS,1
ADAR,1
MNDA,1
IFI16,1
AIM2,1
SLAMF7,1
SELL,1
RABGAP1L,1
KIAA0040,1
DENND1B,1
ATF3,1
H3F3A,2
COA6,1
CMPK2,1
RSAD2,1
SMC6,1
EIF2AK2,1
PNPT1,1
B3GNT2,1
NAGK,1
TMSB10,1
VAMP5,1
IL1R2,2
IL1RN,1
CXCR4,2
NMI,1
IFIH1,1
GCA,1
SSB,1
STAT1,1
SPATS2L,1
CFLAR,1
PID1,2
SP110,1
SP100,1
BRK1,2
TREX1,1
GPX1,2
HESX1,1
CD47,1
PARP9,1
DTX3L,1
PARP14,1
XRN1,1
PLSCR1,1
SSR3,1
TNFSF10,1
MAP3K13,1
RTP4,1
CD38,1
LAP3,1
DCK,1
CXCL9,1
CXCL10,1
CXCL11,1
SCARB2,1
PLAC8,1
AGPAT9,2
PPM1K,1
HERC6,1
HERC5,1
H2AFZ,2
EXOSC9,1
DDX60,1
DDX60L,1
SUB1,1
CAST,1
SNX2,1
C5orf56,1
IRF1,1
CYSTM1,1
SQSTM1,2
SSR1,1
GMPR,1
DEK,1
HLA.A_ENSG00000206503,1
HLA.E_ENSG00000204592,1
HLA.C_ENSG00000204525,1
HLA.B_ENSG00000234745,1
CLIC1_ENSG00000213719,1
HSPA1A_ENSG00000204389,1
TAP2_ENSG00000204267,1
PSMB8_ENSG00000204264,1
PSMB9_ENSG00000240065,1
TAP1_ENSG00000168394,1
HLA.DMA_ENSG00000204257,2
TAPBP_ENSG00000231925,1
HSP90AB1,1
MB21D1,1
EEF1A1,2
PNRC1,2
CD164,1
FAM26F,1
DYNLT1,1
CHST12,1
ACTB,2
TSPAN13,1
NT5C3A,1
RALA,2
PSMA2_ENSG00000106588,1
BLVRA,1
HSPB1,1
CD36,2
SAMD9,1
SAMD9L,1
TMEM140,1
PARP12,1
NUB1,1
INSIG1,2
TLR7,1
SLC38A5_ENSG00000017483,1
CTSB,1
PDGFRL,1
TM2D2,1
DECR1,1
NUDCD1,1
LY6E,1
GSDMD,1
DDX58,1
DNAJA1,1
BAG1,1
CHMP5,1
CCL19,1
TDRD7,1
TRIM14,1
STX17,1
SLC31A2,1
GSN,2
STOM,1
PTGDS,1
KLF6,1
OPTN,1
PPA1,1
PPIF,2
ANKRD22,1
FAS,1
IFIT2,1
IFIT3,1
IFIT1,1
IFIT5,1
RGS10,2
IFITM2,1
IFITM1,1
IFITM3,1
IRF7,1
POLR2L,2
TRIM5,1
TRIM22,1
LDHA,2
UBE2L6,1
SERPING1,1
FTH1,2
MALAT1,1
RELA,1
DRAP1,1
GSTP1,2
UNC93B1,1
P2RY6,1
CTSC,1
CASP4,1
AMICA1,2
HSPA8,1
NDUFA9,1
CD9,2
GAPDH,2
LAG3,1
TPI1_ENSG00000111669,2
CLEC2D,1
CD69,1
CLEC2B,1
BCL2L14,1
HNRNPA1,2
STAT2,1
GLIPR1,2
PHLDA1,2
ATP2B1,2
DRAM1,1
USP30.AS1,1
TRAFD1,1
OAS1,1
OAS3,1
OAS2,1
OASL,1
SAP18,1
POMP,1
SPG20,1
EPSTI1,1
PHF11,1
TNFSF13B,1
PSME1,1
PSME2,1
TINF2,1
TGM1,1
SNX6,1
BAZ1A,1
FAM177A1,1
TMX1,1
GCH1,1
LGALS3,2
NPC2,1
FOS,2
SPTLC2,1
LGMN,1
IFI27,1
WARS,1
HSP90AA1,1
CKB,1
SRP14,1
EHD4,1
B2M,1
SPPL2A,1
RPL4,2
PKM,2
PML,1
COX5A,1
IDH3A,1
PSMA4,1
ISG20,1
HAPLN3,1
SOCS1,1
IGSF6,1
BCKDK,2
TRADD,1
COTL1,2
IRF8,1
ARRB2,2
CXCL16,2
VMO1,2
PFN1,2
XAF1,1
UBB,1
LGALS9,1
CCL2,1
CCL8,1
SLFN5,1
IGFBP4,1
CNP_ENSG00000173786,1
DHX58_ENSG00000108771,1
IFI35,1
H3F3B,1
RNF213,1
SMCHD1,1
MYL12A,1
TCF4,1
PMAIP1,1
RBCK1,1
CST7,2
ZNFX1,1
RNF114,1
CEBPB,2
GADD45B,1
C19orf66,1
RAB8A,1
HSH2D,1
BST2,1
NAPA,1
ATF5,1
NKG7,1
RTCB,1
APOL3,1
EIF3L,2
APOBEC3A_ENSG00000128383,1
APOBEC3B,1
APOBEC3G,1
TYMP,1
CBR1,1
MX2,1
MX1,1
