genes,cluster
NOC2L,1
HES4,2
ISG15,2
SDF4,1
UBE2J2,1
PUSL1,1
AURKAIP1,1
MRPL20,1
SSU72,1
NADK,2
GNB1,2
C1orf86,1
SKI,1
TNFRSF14,2
C1orf174,2
KCNAB2,1
RPL22,1
ZBTB48,1
THAP3,2
CAMTA1,2
PARK7,1
RERE,2
ENO1,1
SPSB1,2
SLC25A33,1
CLSTN1,1
CTNNBIP1,1
KIF1B,2
PGD,1
DFFA,1
FBXO6,2
MAD2L2,1
KIAA2013,1
MIIP,2
TNFRSF1B,1
PDPN,1
SPEN,1
ZBTB17,1
SZRD1,2
NECAP2,2
CROCCP2,1
AKR7A2,1
CAPZB,1
MINOS1,1
CDA,1
HP1BP3,1
CDC42,2
C1QA,2
KDM1A,1
LUZP1,1
ID3,1
TCEB3,1
PNRC2_ENSG00000189266,2
RCAN3,2
SRRM1,1
CLIC4,2
SYF2,2
C1orf63,2
TMEM50A,2
TMEM57,1
LDLRAP1,1
STMN1,1
ZNF593,1
SH3BGRL3,1
RPS6KA1,1
ARID1A,1
WASF2,2
IFI6,2
THEMIS2,2
ATPIF1,1
SESN2,1
PHACTR4,2
TAF12,1
YTHDF2,1
SRSF4,2
SNRNP40,1
SERINC2_ENSG00000168528,1
PEF1,2
PTP4A2,1
KHDRBS1,2
EIF3I,1
HDAC1,1
MARCKSL1,1
ZBTB8OS,1
YARS,1
RNF19B,2
ZMYM4,2
KIAA0319L,2
AGO3,1
ADPRHL2,2
MAP7D1,1
LSM10,1
MRPS15,1
CSF3R,2
MEAF6,1
GNL2,1
YRDC,1
C1orf122,1
FHL3,1
UTP11L,1
RRAGC,2
MYCBP,1
NDUFS5,1
PABPC4,1
SMAP2,2
YBX1,1
EBNA1BP2,1
ELOVL1,1
ATP6V0B,1
RPS8,1
PLK3,1
NASP,2
UQCRH,1
MOB3C,2
CMPK1,1
OSBPL9,2
NRD1,2
TXNDC12,1
ZCCHC11,1
GPX7,1
FAM159A,1
MAGOH,1
TMEM59,2
MRPL37,1
USP1,2
JAK1,2
AK4,2
PDE4B,2
MIER1,2
SERBP1,1
RABGGTB,1
USP33,2
NEXN,2
FUBP1,2
DNAJB4,2
IFI44L,2
IFI44,2
RPF1,1
GNG5,2
MCOLN2,2
ODF2L,2
SH3GLB1,2
SEP15,1
LMO4,2
PKN2,2
GTF2B,2
GBP3,2
GBP1,2
GBP2,2
GBP7,2
GBP4,2
GBP5,2
LRRC8C,1
LRRC8D,1
ZNF326,1
RPAP2,1
EVI5,1
RPL5,1
TMED5,2
DNTTIP2,1
GCLM,2
HIAT1,2
VAV3,2
SLC25A24,2
PRPF38B,1
STXBP3,2
TMEM167B,2
PSMA5,2
GNAI3,2
AMPD2,1
GSTM3,1
LAMTOR5,1
KCNA3,2
CD53,2
LRIF1,2
DENND2D,2
CHI3L2,2
ATP5F1,1
C1orf162,1
RAP1A,1
CTTNBP2NL,2
CAPZA1,2
MOV10,2
RHOC,2
PHTF1,1
PTPN22,1
NRAS,2
CSDE1,1
ATP1A1,1
NOTCH2,2
FAM72B_ENSG00000188610,2
FCGR1B_ENSG00000198019,2
RP11.343N15.5_ENSG00000269996,2
PDE4DIP_ENSG00000178104,2
NOTCH2NL_ENSG00000213240,2
TXNIP_ENSG00000117289,2
RBM8A_ENSG00000131795,1
RNF115_ENSG00000121848,2
RP11.403I13.8_ENSG00000235999,2
FCGR1A_ENSG00000150337,2
HIST2H2BE_ENSG00000184678,2
MTMR11_ENSG00000014914,2
PLEKHO1_ENSG00000023902,2
APH1A_ENSG00000117362,2
MRPS21,1
PRPF3_ENSG00000117360,2
MCL1,2
CTSS,2
CERS2,1
CDC42SE1,2
TNFAIP8L2,1
SCNM1,1
PSMD4,1
S100A10,2
S100A11,2
S100A9,1
S100A12,1
S100A8,1
S100A6,1
S100A4,1
S100A2,1
CHTOP,2
ILF2,1
SLC27A3_ENSG00000143554,2
JTB,1
RPS27,1
TPM3,2
ADAR,2
SHC1,2
CKS1B_ENSG00000173207,2
DAP3,1
ARHGEF2,1
SSR2,1
LAMTOR2,1
SEMA4A,2
PMF1,1
CCT3,1
APOA1BP,1
HDGF,1
CD1D,2
MNDA,2
IFI16,2
AIM2,2
DUSP23,1
TAGLN2,2
IGSF8,2
NCSTN,2
CD48,2
SLAMF7,2
PFDN2,1
UFC1,1
B4GALT3,1
FCER1G,2
SDHC,1
FCGR2A,2
FCGR3B,2
UAP1,1
MGST3,2
ALDH9A1,1
TMCO1,1
POU2F1,2
CREG1,2
