genes,cluster
RCSD1,2
TIPRL,2
SFT2D2,2
NME7,2
BLZF1,2
SELL,2
RABGAP1L,2
CACYBP,2
MRPS14,1
KIAA0040,2
TOR3A,2
ABL2,2
SOAT1,2
TOR1AIP1,2
QSOX1,1
ACBD6,1
STX6,1
MR1,2
GLUL,2
RNASEL,2
DHX9,1
ARPC5,2
RGL1,2
C1orf21,2
FAM129A,2
TRMT1L,2
IVNS1ABP,1
TPR,1
C1orf27,1
RGS2,1
TROVE2,2
CDC73,2
DENND1B,2
PTPRC_ENSG00000081237,2
IPO9,1
TIMM17A,1
RNPEP,1
ARL8A,2
PTPN7,1
RABIF,2
CYB5R1,1
TMEM183A,1
BTG2,1
SNRPE,1
RAB7L1,2
SRGAP2_ENSG00000163486,2
IKBKE_ENSG00000143466,2
RASSF5_ENSG00000136653,1
MAPKAPK2_ENSG00000162889,1
CD55,1
G0S2,1
ATF3,2
BATF3,2
LYPLAL1,1
MIA3,2
AIDA,2
RP11.452F19.3,1
CAPN2,2
TP53BP2,2
CNIH4,2
SRP9,2
EPHX1,2
TMEM63A,2
H3F3A,1
ARF1,2
C1orf35,1
MRPL55,1
RNF187,1
RAB4A,1
SPRTN,1
EGLN1,1
TARBP1,2
IRF2BP2,1
TOMM20,1
ARID4B,2
GPR137B,2
LGALS8,2
KMO,2
CEP170,1
ADSS,1
COX20,2
ACP1,1
ADI1,1
RPS7,1
CMPK2,2
RSAD2,2
ID2,1
YWHAQ,2
TAF1B,2
HPCAL1,1
PDIA6,2
PQLC3,2
TRIB2,2
DDX1,1
FAM49A,2
SMC6,2
RDH14,2
LAPTM4A,2
UBXN2A,2
RAB10,2
PREB,1
ATRAID,1
EIF2B4,1
SNX17,1
PPM1G,1
NRBP1,2
SLC4A1AP,1
MRPL33,1
TRMT61B,1
YPEL5,2
BIRC6,1
RASGRP3,2
FEZ2,2
EIF2AK2,2
QPCT,1
CDC42EP3,2
HNRNPLL,2
GALM,2
SRSF7,2
GEMIN6,1
SOS1,2
SLC8A1,2
COX7A2L,1
FOXN2,2
RPS27A,1
MTIF2,1
SMEK2,1
PNPT1,2
XPO1,2
B3GNT2,2
MDH1,1
PELI1,2
SLC1A4,2
RAB1A,2
ACTR2,1
PLEK,2
ARHGAP25,2
ANXA4,2
MXD1,2
PCBP1.AS1,2
PCBP1,2
TIA1,2
NAGK,2
MPHOSPH10,1
CCT7,1
MOB1A,2
MTHFD2,2
AUP1,1
HTRA2,1
HK2,2
POLE4,1
SUCLG1,1
TMSB10,2
TGOLN2,1
VAMP8,1
VAMP5,2
GNLY,2
ST3GAL5,2
IMMT,1
MRPL35,1
CHMP3,2
RPIA,1
STARD7,1
SNRNP200,1
ARID5A,2
INPP4A,1
PDCL3,1
UXS1,1
LIMS1,1
RANBP2,1
IL1B,1
IL1RN,2
CBWD2,2
ACTR3,2
DDX18,1
RALB,2
NIFK,1
TSN,1
BIN1,1
MAP3K2,1
POLR2D,1
CCDC115,1
MZT2A,2
RAB3GAP1,2
CXCR4,1
HNMT,1
KYNU,2
ZEB2,2
ZEB2.AS1,2
ORC4,2
RBM43,2
NMI,2
TNFAIP6,2
ARL5A,1
STAM2,2
PRPF40A,1
ARL6IP6,2
CYTIP,1
RBMS1,2
TANK,2
PSMD14,1
IFIH1,2
GCA,2
CERS6,2
DHRS9,2
PPIG,1
SSB,2
HAT1,1
MLTK,1
OLA1,1
CIR1,2
GPR155,2
WIPF1,2
ATP5G3,1
HNRNPA3,1
NFE2L2,2
ITGA4,2
DNAJC10,1
ZC3H15,1
CALCRL,2
TFPI,1
INPP1,1
GLS,2
STAT1,2
NABP1,2
STK17B,2
PGAP1,2
HSPD1,2
MOB4,2
SPATS2L,2
BZW1,1
NDUFB3,2
CFLAR,2
CASP10,2
CASP8,2
STRADB,2
NOP58,1
BMPR2,2
ABI2,1
NRP2,2
EEF1B2,1
METTL21A,1
CCNYL1,2
BARD1,2
XRCC5,1
RPL37A,1
TNS1,1
GPBAR1,2
AAMP,1
PNKD,1
TMBIM1,2
SLC11A1,1
CTDSP1,1
CYP27A1,1
CNPPD1,2
STK16,1
TUBA4A,1
DNAJB2,1
DNPEP,2
WDFY1,2
MRPL44,2
CCL20,1
PID1,1
SP110,2
SP140,2
SP140L,2
SP100,2
PSMD1,1
NCL,1
PTMA,1
EIF4E2,1
GIGYF2,1
INPP5D,2
LRRFIP1,2
UBE2F,2
ILKAP,1
NDUFA10,1
MYEOV2,1
PPP1R7,1
DTYMK,1
BHLHE40,1
ARL8B,2
EDEM1,2
MTMR14,2
CAMK1,1
TADA3,1
EMC3,1
BRK1,1
SEC13,1
PPARG,1
XPC,1
SLC6A6,2
SH3BP5,1
DPH3,2
RAB5A,2
RPL15,1
TOP2B,1
SLC4A7,1
AZI2,2
TGFBR2,1
CMTM6,2
PDCD6IP,1
TRANK1,2
LRRFIP2,2
GOLGA4,2
ACAA1,1
MYD88,2
CSRNP1,2
RPSA,1
RPL14,1
ZDHHC3,1
SACM1L,2
CCR1,2
CCR5,2
CCRL2,2
CCDC12,1
DHX30,1
MAP4,2
TREX1,2
SHISA5,2
UQCRC1,1
PRKAR2A,1
WDR6,1
IMPDH2,1
QARS,1
GPX1,1
APEH,1
UBA7,2
TUSC2_ENSG00000114383,1
RASSF1_ENSG00000068028,1
CYB561D2,1
TEX264,1
RPL29,1
ALAS1,2
TWF2,1
PPM1M,1
NISCH,1
SPCS1,1
TMEM110,2
PRKCD_ENSG00000163932,2
TKT_ENSG00000163931,1
DCP1A,2
SELK,2
ARHGEF3,2
HESX1,2
APPL1,2
RPP14_ENSG00000163684,1
PXK,1
PDHB,1
C3orf14,2
PSMD6,1
ARL6IP5,1
MITF,1
FOXP1,2
EIF4E3,2
CGGBP1,2
C3orf38,2
NSUN3,2
CLDND1,2
TFG,2
TRMT10C,1
PCNP,2
RPL24,1
ALCAM,1
BBX,2
CD47,2
ATG3,2
SLC35A5,2
QTRTD1,1
TIMMDC1,1
CD80,2
ADPRH,2
COX17,2
HCLS1,1
CD86,2
PARP9,2
DTX3L,2
PARP14,2
DIRC2,1
TPRA1,2
MGLL,2
SEC61A1,2
RPN1,1
CNBP,1
MBD4,1
DNAJC13,2
CDV3,2
CEP63,2
PCCB,1
NCK1,2
ARMC8,2
MRAS,2
MRPS22,1
RNF7,1
ATP1B3,1
TFDP2,1
XRN1,2
PLSCR1,2
RNF13,2
SERP1,1
MBNL1,2
SSR3,2
TIPARP,2
CCNL1,2
RSRC1,1
MFSD1,2
NMD3,1
PDCD10,2
SEC62,1
GPR160,1
SKIL,1
RPL22L1,1
TNFSF10,2
MFN1,2
GNB4,2
MRPL47,1
LAMP3,2
KLHL6,2
PARL,1
AP2M1,1
ALG3,1
PSMD2,1
MAP3K13,2
RTP4,2
CCDC50,2
FAM43A,1
PPP1R2,1
TCTEX1D2,1
UBXN7,1
RNF168,1
NRROS,2
NCBP2,1
NCBP2.AS2,1
KIAA0226,2
FYTTD1,2
RPL35A,1
ZNF721_ENSG00000182903,1
MFSD7,1
MAEA,1
SLBP,1
LETM1,1
RGS12,1
LRPAP1,1
LYAR,1
STX18,2
MRFAP1L1,1
BLOC1S4,1
KIAA0232,1
GRPEL1,1
HS3ST1,1
FBXL5,1
FAM200B,1
BST1,2
CD38,2
LAP3,2
MED28,2
PI4K2B,2
RBPJ,1
ARAP2,2
TBC1D1,2
RPL9,1
SMIM14,2
RHOH,2
RBM47,2
SGCB,2
CHIC2,2
SRP72,1
NOA1,1
POLR2B,1
IGFBP7,2
STAP1,2
UBA6,2
DCK,2
IL8,1
CXCL1,1
PF4,2
CXCL5,1
CXCL3,1
CXCL2,1
EREG,1
NAAA,2
CXCL9,2
CXCL10,2
CXCL11,2
SCARB2,2
LINC01094,1
ANTXR2,2
RASGEF1B,2
HNRNPDL,1
THAP9.AS1,2
COPS4,1
PLAC8,2
COQ2,1
HPSE,2
HELQ,2
MRPS18C,2
FAM175A,2
AGPAT9,1
PPM1K,2
HERC6,2
HERC5,2
SNCA,1
EIF4E,1
DAPP1,2
H2AFZ,1
MANBA,1
UBE2D3,2
TET2,2
INTS12,2
AIMP1,1
PAPSS1,1
RPL34,1
OSTC,1
CCDC109B,2
C4orf32,2
TIFA,2
ALPK1,2
LARP7,2
C4orf3,2
ANXA5,2
EXOSC9,2
KIAA1109,2
SCLT1,2
C4orf33,2
SLC7A11,1
IL15,2
SMARCA5,2
LSM6,1
RPS3A,1
PLRG1,1
PPID,2
FNIP2,2
RAPGEF2,2
MARCH1,2
DDX60,2
DDX60L,2
GALNT7,1
HMGB2,1
IRF2,2
RP11.326I11.3,2
CASP3,2
ACSL1,2
RP11.701P16.5,2
ANKRD37,1
UFSP2,1
SDHA,2
PDCD6,1
LPCAT1,1
MRPL36,1
NDUFS6,1
MED10,2
SRD5A1,2
CCT5,1
DAP,1
ANKH,1
ZNF622,2
BASP1,2
GOLPH3,2
SUB1,2
RAI14,1
DNAJC21,1
IL7R,2
NIPBL,1
RICTOR,2
FYB,2
DAB2,1
PTGER4,2
ANXA2R,2
PAIP1,2
PARP8,2
GZMK,2
GZMA,2
SKIV2L2,1
GPBP1,2
GAPT,1
NDUFAF2,1
SMIM15,1
CWC27,1
PPWD1,1
SGTB,2
NLN,2
ERBB2IP,2
SLC30A5,1
TAF9_ENSG00000085231,1
BTF3,1
HEXB,1
NSA2,1
COL4A3BP,2
POLK,2
IQGAP2,2
WDR41,2
CTD.2037K23.2,2
LHFPL2,2
PAPD4,2
ZFYVE16,1
TMEM167A,1
VCAN,1
CCNH,1
LUCAT1,1
TTC37,2
GLRX,2
CAST,2
ERAP2,2
LNPEP,2
ST8SIA4,2
DCP2,2
TRIM36,2
FEM1C,2
TMED7,2
ATG12,2
AP3S1,2
DMXL1,2
TNFAIP8,2
SNX2,2
LMNB1,2
ISOC1,2
HINT1,1
CDC42SE2,2
C5orf56,2
IRF1,2
UQCRQ,1
ZCCHC10,2
C5orf15,2
UBE2B,2
CDKN2AIPNL,1
JADE2,2
DDX46,1
H2AFY,1
TGFBI,1
HNRNPA0,1
ETF1,1
CTNNA1,2
MATR3,1
CXXC5,1
CYSTM1,2
HBEGF,1
CD14,1
NDUFA2,1
IK,1
NDFIP1,2
ADRB2,2
CSF1R,1
CD74,2
RBM22,2
CCDC69,1
GM2A,2
ATOX1,2
HAVCR2,2
ADAM19,2
PTTG1,2
MAT2B,2
RARS,1
DOCK2,1
LCP2,2
NPM1,1
DUSP1,1
RPL26L1,1
ATP6V0E1,2
CREBRF,2
NOP16,1
CLTB,1
NSD1,1
GRK6,1
PDLIM7,1
DDX41,1
TMED9,1
NHP2,1
HNRNPAB,1
ZNF354A,1
SQSTM1,2
RNF130,1
MGAT1,2
LINC00847,2
GNB2L1,1
IRF4,2
GMDS,2
SERPINB1,2
RP11.420G6.4,2
SERPINB9,2
RIPK1,2
TUBB2A,2
LY86,2
SNRNP48,1
GCNT2,2
TMEM14C,1
TMEM14B,1
NEDD9,1
ADTRP,2
HIVEP1,2
EDN1,2
TBC1D7,1
CD83,2
JARID2,1
DTNBP1,2
MYLIP,2
GMPR,2
ATXN1,1
FAM8A1,2
TPMT,2
DEK,2
RNF144B,2
SOX4,1
C6orf62,2
FAM65B,2
TRIM38,2
HIST1H4C,2
HIST1H2BC,2
HIST1H2AC,2
HIST1H2BD,2
HIST1H3D,2
HIST1H4H,2
BTN3A1,2
BTN3A3,2
BTN2A1,2
ABT1_ENSG00000146109,1
HIST1H2BJ,2
HIST1H2BK,1
HLA.F_ENSG00000204642,2
HLA.A_ENSG00000206503,2
ZNRD1_ENSG00000066379,1
TRIM26_ENSG00000234127,2
HLA.E_ENSG00000204592,2
GNL1_ENSG00000204590,1
MRPS18B_ENSG00000204568,1
TUBB_ENSG00000196230,1
FLOT1_ENSG00000137312,2
IER3_ENSG00000137331,1
HLA.C_ENSG00000204525,2
HLA.B_ENSG00000234745,2
MICB_ENSG00000204516,2
NFKBIL1_ENSG00000204498,1
TNF_ENSG00000232810,2
C6orf47_ENSG00000204439,2
CSNK2B_ENSG00000204435,1
DDAH2_ENSG00000213722,2
CLIC1_ENSG00000213719,2
HSPA1A_ENSG00000204389,2
HSPA1B_ENSG00000204388,2
C6orf48_ENSG00000204387,1
C2_ENSG00000166278,2
ATF6B_ENSG00000213676,1
AGPAT1_ENSG00000204310,1
RNF5_ENSG00000204308,1
HLA.DRB1_ENSG00000196126,2
TAP2_ENSG00000204267,2
PSMB8_ENSG00000204264,2
TAPSAR1,2
PSMB9_ENSG00000240065,2
TAP1_ENSG00000168394,2
HLA.DPA1_ENSG00000231389,2
HLA.DPB1_ENSG00000223865,2
TAPBP_ENSG00000231925,2
BAK1,2
C6orf1,2
RPS10,1
SNRPC,1
TAF11,1
RPL10A,1
FKBP5,2
MAPK13,1
ETV7,2
KCTD20,1
SRSF3,1
MTCH1,2
FGD2,2
PIM1,2
CMTR1,2
GLO1,1
SAYSD1,2
CNPY3,1
MEA1,1
KLHDC3,1
MRPL2,1
DNPH1,1
POLR1C,1
MAD2L1BP,2
VEGFA,1
HSP90AB1,2
CDC5L,1
RUNX2,2
PLA2G7,2
CD2AP,2
PAQR8,2
ELOVL5,2
PTP4A1,2
SMAP1,2
OGFRL1,2
MB21D1,2
EEF1A1,1
SLC17A5,2
TMEM30A,2
HMGN3,2
FAM46A,2
CYB5R4,2
SYNCRIP,1
AKIRIN2,2
RRAGD,2
LYRM2,1
PNISR,1
PRDM1,2
AIM1,2
SEC63,1
SNX3,2
FOXO3,1
CD164,2
MICAL1,2
AMD1,2
GTF3C6,1
RPF2,1
REV3L,1
MARCKS,2
HDAC2,1
FAM26F,2
RWDD1,1
ZUFSP,2
GOPC,2
SMPDL3A,1
HDDC2,1
NCOA7,2
HINT3,2
ECHDC1,1
ARHGAP18,1
AKAP7,2
STX7,2
SLC18B1,2
SGK1,2
AHI1,1
IFNGR1,1
TNFAIP3,2
HEBP2,2
CCDC28A,1
ABRACL,2
CITED2,2
PHACTR2,2
SF3B5,1
STX11,2
UTRN,2
RAB32,2
PPIL4,1
PCMT1,2
MTHFD1L,1
IPCEF1,2
DYNLT1,2
SYTL3,2
EZR,2
TAGAP,2
SOD2,2
WTAP,2
MRPL18,2
IGF2R,2
QKI,2
SFT2D1,2
RNASET2,2
PHF10,1
PDCD2,1
COX19,1
PSMG3,1
NUDT1,1
SNX8,2
CHST12,2
BRAT1,1
GNA12,1
ACTB,1
RNF216,1
USP42,2
KDELR2,1
ZDHHC4,1
C1GALT1,2
NDUFA4,1
TMEM106B,2
SCIN,2
TSPAN13,2
SNX13,1
IL6,2
GPNMB,1
CYCS,1
NFE2L3,2
HNRNPA2B1,2
CBX3,2
SNX10,2
SKAP2,1
HOTAIRM1,1
TAX1BP1,2
JAZF1,2
CPVL,2
AC007036.6,2
KBTBD2,2
NT5C3A,2
HERPUD2,2
EEPD1,1
AOAH,2
GPR141,2
AC004988.1,2
INHBA,2
PSMA2_ENSG00000106588,2
MRPL32,2
BLVRA,2
POLD2,1
DDX56,1
TMED4,2
PPIA,1
H2AFV,1
MYO1G,2
HUS1,2
IKZF1,2
VOPP1,2
MRPS17_ENSG00000239789,1
GUSB,2
ASL,1
CRCP,1
TPST1,1
DNAJC30_ENSG00000176410,1
WBSCR22_ENSG00000071462,1
NCF1_ENSG00000158517,2
HIP1_ENSG00000127946,1
RHBDD2_ENSG00000005486,1
POR_ENSG00000127948,1
MDH2_ENSG00000146701,1
HSPB1,2
YWHAG,1
FGL2,2
RP5.899E9.1,2
RSBN1L,2
TMEM60,2
DMTF1,2
SRI,2
ANKIB1,2
FAM133B,1
SAMD9,2
SAMD9L,2
BRI3,2
ARPC1B,1
ATP5J2,1
ZKSCAN1,1
COPS6,1
LAMTOR4,1
PILRA,2
TSC22D4,2
GNB2,2
POP7,1
SLC12A9,1
TRIP6,2
SRRT,1
TRIM56,2
ZNHIT1,1
FIS1,1
PRKRIP1_ENSG00000128563,2
POLR2J,1
ATXN7L1,2
HBP1,2
ZNF277,2
TFEC,2
CAPZA2,2
FAM3C,1
WASL,2
ARF5,1
IRF5,2
MIR29A,2
LINC.PINT_ENSG00000231721,1
AKR1B1,2
BPGM,2
C7orf49,1
TMEM140,2
CNOT4,2
C7orf73,1
MTPN,2
ZC3HAV1,2
C7orf55.LUC7L2,1
HIPK2,1
TBXAS1,1
PARP12,2
KDM7A,2
MKRN1,2
MRPS33,1
CLEC5A_ENSG00000258227,1
GSTK1,2
AC093673.5,1
CUL1,2
GIMAP8,2
GIMAP7,2
GIMAP4,2
GIMAP6,2
GIMAP2,2
GIMAP1,2
GIMAP5,2
CHPF2,1
NUB1,2
PRKAG2,2
GALNT11,1
KMT2C,1
INSIG1,1
DNAJB6,2
IL3RA,2
SLC25A6,1
PRKX,2
MSL3,2
PRPS2,2
TLR7,2
RAB9A,2
ZRSR2,2
AP1S2,1
SCML1,2
PDHA1,1
SH3KBP1,1
SMS,1
PRDX4,2
ACOT9,2
SAT1,2
EIF2S3,1
PDK3,2
CXorf21,2
DYNLT3,2
MID1IP1,1
CXorf38,2
DDX3X,2
KDM6A,2
CHST7,2
RP2_ENSG00000102218,2
NDUFB11_ENSG00000147123,1
UBA1_ENSG00000130985,2
USP11,2
SLC38A5_ENSG00000017483,2
EBP_ENSG00000147155,1
RBM3_ENSG00000102317,1
HDAC6_ENSG00000094631,2
TIMM17B_ENSG00000126768,1
PQBP1_ENSG00000102103,1
GRIPAP1,2
PLP2_ENSG00000102007,1
HSD17B10_ENSG00000072506,1
APEX2,1
MSN,2
YIPF6,2
PJA1,1
SNX12,1
IL2RG,2
NONO,2
RPS4X,1
JPX,2
MAGT1_ENSG00000102158,2
PGK1_ENSG00000102144,1
BTK_ENSG00000010671,2
GLA_ENSG00000102393,1
ARMCX1_ENSG00000126947,2
ARMCX3_ENSG00000102401,2
BEX4,1
TCEAL8,1
WBP5,1
TCEAL4,1
NXT2,2
TMEM164,2
ALG13,1
IL13RA1,1
SLC25A5,1
UBE2A,2
SEPT6,2
RPL39,1
RNF113A,1
NKAP,1
LAMP2,2
C1GALT1C1,2
XIAP,2
ELF4,2
RAP2C,2
RBMX,1
FMR1_ENSG00000102081,2
IDS_ENSG00000010404,1
CXorf40B_ENSG00000197021,1
VMA21,1
CETN2_ENSG00000147400,1
ABCD1_ENSG00000101986,2
SSR4_ENSG00000180879,2
NAA10_ENSG00000102030,1
FLNA_ENSG00000196924,1
EMD_ENSG00000102119,1
RPL10_ENSG00000147403,1
ATP6AP1_ENSG00000071553,1
FAM50A_ENSG00000071859,1
LAGE3_ENSG00000196976,1
FAM3A_ENSG00000071889,1
G6PD_ENSG00000160211,1
MPP1_ENSG00000130830,2
F8A1_ENSG00000197932,1
CLIC2_ENSG00000155962,2
ERICH1,2
CLN8,1
CTD.2336O2.1,1
DEFB1,2
CLDN23,2
CTSB,2
MSR1,2
CNOT7,1
PDGFRL,2
PCM1,1
ASAH1,2
ATP6V1B2,2
DOK2,1
PPP3CC,2
PDLIM2,1
TNFRSF10B,1
SLC25A37,1
ADAM28,2
ADAMDEC1,2
PPP2R2A,2
BNIP3L,2
LEPROTL1,2
GTF2E2,2
NRG1,1
TTI2,1
RAB11FIP1,1
EIF4EBP1,1
BAG4,1
PPAPDC1B,1
PLEKHA2,2
TM2D2,2
IDO1,2
SLC20A2,1
CEBPD,2
PRKDC,1
PCMTD1,2
RB1CC1,1
ATP6V1H,2
TCEA1,1
LYPLA1,1
LYN,2
UBXN2B,1
SDCBP,2
NSMAF,2
RAB2A,2
ASPH,1
PDE7A,2
VCPIP1,2
TRAM1,2
RP11.383H13.1,1
TERF1,1
RPL7,1
TCEB1,1
TMEM70,1
FABP5,2
IMPA1,2
SNX16,2
LRRCC1,2
RIPK2,2
NBN,2
DECR1,2
GS1.251I9.4,1
GEM,1
PLEKHF2,2
UQCRB,1
PTDSS1,1
SDC2,1
MTDH,1
RNF19A,2
PABPC1,1
ZNF706,2
AZIN1,2
ATP6V1C1,2
DCAF13,1
EIF3E,1
EMC2,2
NUDCD1,2
ENY2,2
EBAG9,2
TRPS1,1
EIF3H,1
EXT1,2
MRPL13,1
DERL1,2
FAM91A1,2
NDUFB9,1
MTSS1,1
SQLE,1
TRIB1,1
FAM49B,2
EFR3A,2
PHF20L1,1
ST3GAL1,1
LY6E,2
GSDMD,2
EEF1D,1
TSTA3,1
PARP10_ENSG00000178685,2
GRINA_ENSG00000178719,2
EXOSC4_ENSG00000178896,1
GPAA1_ENSG00000197858,1
CYC1,1
SHARPIN,1
MAF1,1
MROH1_ENSG00000179832,1
VPS28_ENSG00000160948,1
RPL8,1
CBWD1,2
DOCK8,2
JAK2,2
PLGRKT,2
CD274,2
PDCD1LG2,2
TTC39B,2
PSIP1,1
PLIN2,1
RPS6,1
PTPLAD2,2
PLAA,2
IFT74,2
C9orf72,2
DDX58,2
NDUFB6,1
DNAJA1,2
SMU1,2
B4GALT1,2
BAG1,2
CHMP5,2
STOML2,1
FAM214B,1
CD72,2
CCDC107,2
CREB3,2
GLIPR2,2
GRHPR,1
TOMM5,1
EXOSC3,1
CBWD5,2
SMC5,1
ALDH1A1,2
ANXA1,2
NMRK1,2
GCNT1,2
PSAT1,2
TLE4,2
FRMD3,2
GOLM1,2
CTSL,2
GADD45G,1
FGD3,2
C9orf89,2
NINJ1,2
AAED1,2
TDRD7,2
XPA,1
ANP32B,1
TRIM14,2
NR4A3,2
STX17,2
ERP44,2
NIPSNAP3A,2
SLC44A1,1
RAD23B,1
TXN,2
SLC31A2,2
FKBP15,2
SLC31A1,2
POLE3,1
ATP6V1G1,2
TNFSF8,1
TLR4,2
TRAF1,2
CNTRL,2
STOM,2
NDUFA8,1
PTGS1,1
NEK6,1
GAPVD1,1
ZBTB43,2
PTRH1,1
TOR2A,1
ENG,1
ST6GALNAC6,1
ST6GALNAC4,1
PTGES2,1
SWI5,1
SET,1
C9orf114,1
PPP2R4,2
NTMT1,1
TOR1B,2
FNBP1,2
NUP214,1
RPL7A_ENSG00000148303,1
SURF2_ENSG00000148291,1
SURF4_ENSG00000148248,1
RXRA_ENSG00000186350,1
FCN1,2
MRPS2,1
UBAC1,1
PMPCA,1
SEC16A,1
NOTCH1,1
TMEM141,1
RABL6,1
EDF1,1
CLIC3,2
SSNA1,1
TMEM203,1
MRPL41,1
GTPBP4,1
KLF6,2
AKR1C3_ENSG00000196139,1
IL15RA,2
IL2RA,2
PFKFB3,2
KIN,2
CELF2,2
NUDT5,1
CDC123,1
OPTN,2
FAM107B,1
HSPA14,1
DCLRE1C,2
VIM,1
ARL5B,2
PLXDC2,1
DNAJC1,2
COMMD3,1
ABI1,2
YME1L1,2
MASTL,2
RAB18,2
MAP3K8,1
ITGB1,1
CREM,2
ZNF37A,1
BMS1,1
RASSF4,2
ALOX5_ENSG00000012779,1
C10orf128,1
NCOA4_ENSG00000138293,2
UBE2D1,2
ARID5B,2
EGR2,1
NRBF2,2
HERC4,2
DDX21,1
VPS26A,2
AIFM2,2
SAR1A,2
PPA1,2
PRF1,2
PCBD1,2
ANAPC16,1
DDIT4,1
DNAJB12,1
MICU1,2
PLAU,1
ADK,1
KAT6B,1
VDAC2,1
PPIF,1
CCSER2,2
ANKRD22,2
ACTA2,2
