genes,cluster
ISG15,1
FBXO6,1
IFI6,1
YBX1,2
NEXN,1
IFI44L,1
IFI44,1
GNG5,1
ODF2L,1
GBP1,1
GBP2,1
GBP7,1
GBP4,1
GBP5,1
RPL5,2
S1PR1,2
PSMA5,1
KCNA3,1
CD53,1
CHI3L2,1
MOV10,1
MCL1,1
CTSS,1
ADAR,1
MNDA,1
IFI16,1
AIM2,1
CD48,1
SELL,1
TARBP1,1
RPS7,2
CMPK2,1
RSAD2,1
PDIA6,1
RASGRP3,1
EIF2AK2,1
GALM,1
SRSF7,1
PNPT1,1
MTHFD2,1
TMSB10,1
ARID5A,1
RNF149,1
IL18RAP,1
IL1RN,1
RALB,1
NMI,1
CYTIP,1
TANK,1
IFIH1,1
GPR155,1
STAT1,1
PGAP1,1
SPATS2L,1
CFLAR,1
TUBA4A,2
SP110,1
SP140,1
SP100,1
ITM2C,2
RAMP1,2
RPL15,2
AZI2,1
TRANK1,1
MYD88,1
RPSA,2
TREX1,1
SHISA5,1
GPX1,2
ARL6IP5,2
FRMD4B,1
TFG,1
CD47,1
FAM162A,2
PARP9,1
DTX3L,1
PARP14,1
XRN1,1
PLSCR1,1
TNFSF10,1
LAMP3,1
RTP4,1
CD38,1
LAP3,1
PI4K2B,1
ATP8A1,2
CXCL10,1
CXCL11,1
SCARB2,1
PLAC8,1
PPM1K,1
HERC6,1
HERC5,1
DAPP1,1
UBE2D3,1
OSTC,1
SNHG8,2
C4orf3,1
RPS3A,2
DDX60,1
DDX60L,1
CDKN2AIP,2
IRF2,1
SUB1,1
ANXA2R,1
GPBP1,1
LNPEP,1
C5orf56,1
IRF1,1
NPM1,2
GNB2L1,2
SERPINB1,1
TMEM14C,2
ADTRP,1
GMPR,1
E2F3,1
TRIM38,1
HLA.E_ENSG00000204592,1
HLA.C_ENSG00000204525,1
TAP2_ENSG00000204267,1
PSMB8_ENSG00000204264,1
PSMB9_ENSG00000240065,1
TAP1_ENSG00000168394,1
TAPBP_ENSG00000231925,1
BAK1,1
RPL10A,2
ETV7,1
EEF1A1,2
COX7A2,1
FAM46A,1
PRDM1,1
SCML4,1
CD164,1
DYNLT1,1
SOD2,1
CHST12,1
C1GALT1,1
NT5C3A,1
PSMA2_ENSG00000106588,1
ANKIB1,1
SAMD9,1
SAMD9L,1
TRIM56,1
DNAJB9,1
C7orf49,2
TMEM140,1
ZC3HAV1,1
PARP12,1
MKRN1,1
GIMAP7,1
GIMAP4,1
NUB1,1
MSL3,1
PRDX4,1
ACOT9,1
SAT1,1
SLC38A5_ENSG00000017483,1
CXCR3,2
ITM2A,2
TSC22D3,2
RPL10_ENSG00000147403,2
CTD.2336O2.1,2
IDO1,1
TRAM1,1
RPL7,2
LY6E,1
GSDMD,1
PARP10_ENSG00000178685,1
RPS6,2
DDX58,1
DNAJA1,1
BAG1,1
CHMP5,1
ANXA1,1
TRIM14,1
SEC61B,1
STOM,1
TOR2A,2
FAM102A,2
UBAC1,2
IL15RA,1
VIM,2
MASTL,1
MAP3K8,1
HNRNPH3,2
PRF1,1
ANXA7,2
FAS,1
LIPA,1
IFIT2,1
IFIT3,1
IFIT1,1
IFIT5,1
PCGF5,1
BLNK_ENSG00000095585,1
SLC25A28,1
CASP7,1
IFITM2,1
IFITM1,1
IFITM3,1
IRF7,1
TRIM21,1
TRIM5,1
TRIM22,1
MRPL17,1
EIF3F,2
CD82,2
MDK,1
UBE2L6,1
RARRES3,1
PRDX5,2
NEAT1,1
CFL1,1
DRAP1,1
RAD9A,1
TBC1D10C,2
UNC93B1,1
SESN3,2
TMEM123,1
CASP4,1
CASP1,1
CARD16,1
AMICA1,2
HSPA8,1
ACAD8,2
PARP11,1
NDUFA9,1
GAPDH,2
PTMS,1
LAG3,1
CLEC2D,1
CD69,1
BCL2L14,1
ARHGDIB,2
NELL2,2
TMBIM6,1
HNRNPA1,2
IL23A,2
STAT2,1
USP15,1
HELB,1
IFNG,1
ISCU,2
USP30.AS1,1
PPP1CC,1
RPL6,2
OAS1,1
OAS3,1
OAS2,1
OASL,1
RHOF,2
UBC,1
POMP,1
ALOX5AP,1
ELF1,1
RGCC,2
EPSTI1,1
PHF11,1
TNFSF13B,1
PSME1,1
PSME2,1
IRF9,1
TINF2,1
SNX6,1
RPL36AL,1
TMX1,1
GCH1,1
SOCS4,2
PSMA3,1
SYNE2,1
NPC2,1
IFI27,1
WARS,1
HSP90AA1,1
GCHFR,2
EHD4,1
B2M,1
TRIM69,1
SQRDL,1
LYSMD2,1
RPL4,2
ANP32A,2
PML,1
IL16,2
ISG20,1
HAPLN3,1
IDH2,1
VIMP,1
SOCS1,1
LAT,2
MVP,1
ALDOA,2
YPEL3,2
CORO1A,2
N4BP1,1
MT2A,1
TRADD,1
CTCF,2
TMEM170A,1
CYBA,2
FANCA,1
PFN1,2
XAF1,1
ACADVL,2
CD68,1
KDM6B,2
VAMP2,2
LGALS9,1
BLMH,1
CCL2,1
CCL8,1
CNP_ENSG00000173786,1
DHX58_ENSG00000108771,1
IFI35,1
KPNB1,1
LUC7L3,2
TRIM25,1
SLC9A3R1,2
H3F3B,1
SOCS3,1
LGALS3BP,1
RNF213,1
HEXDC,1
SMCHD1,1
LPIN2,1
MYL12A,1
RPL17,2
ME2,1
RBCK1,1
SAMHD1,1
CTSA,2
ZNFX1,1
ZBP1,1
OGFR,1
PPDPF,2
HELZ2,1
GZMM,2
GPX4,2
CIRBP,2
MATK,2
EEF2,2
C19orf66,1
TPM4,1
RAB8A,1
HSH2D,1
BST2,1
CTD.2521M24.9,1
ZBTB32,1
PRKD2,1
NAPA,1
RPL13A,2
XBP1,1
APOL6,1
EIF3D,2
LGALS1,2
EIF3L,2
APOBEC3A_ENSG00000128383,1
APOBEC3B,1
RPL3,2
SYNGR1,2
RBX1,1
PRR5,1
TYMP,1
BTG3,1
MX2,1
MX1,1
